Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"2012","D","1 Dollar","Native American Dollar","Native American","Uncirculated","$8.95","$2.50 – $5.00","","",""
"1971","","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","$4 – $8","","",""
"2019","S","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Choice Proof 63","$38.50","Pending","","",""
"1957","D","Dime","Roosevelt Dime Series","Unmapped","Average Circulated","$0.00","$2.00 – $3.00","","",""
"1860","O","Half Dollar","Liberty Seated","No Motto","Very Good","$121.50","Pending","","",""
"1939","","Penny","Lincoln Cent Series","Abraham Lincoln","Average Circulated","$1.35","$0.15 – $0.50","","",""
"1842","","Seated Liberty Half Dime","","Stars","Fine","$72.00","$25 – $45","","",""
"1976","S","Dollar","U.S. Bicentennial","Bicentennial Drummer (Type II)","Proof-63","$31.35","$8 – $15","","",""
"1823","","Dime","Capped Bust","Unmapped","Good 6","$325.00","$125 – $175","","",""
"1930","S","Five Cents","USA Invoice Import","Buffalo / Indian Head","Average Circulated","$0.00","","","",""
"2024","P","Quarter Dollar","American Women Quarters","Pauli Murray","Uncirculated","$0.00","","","",""
"1981","","Penny","Lincoln Memorial Cent","Lincoln Head","Uncirculated","$0.40","$0.15 – $1.00","","",""
"1896","O","1 Dollar","Morgan Silver Dollar","Liberty Head","Extremely Fine","$125.00","Pending","","",""
"1892","CC","1 Dollar","Morgan Silver Dollar","Unmapped","Choice Uncirculated 63","$3350.00","Pending","","",""
"2002","D","Quarter","State and Territory Quarters","Louisiana","Uncirculated","1.95","Pending","","",""
"1891","","$1","Morgan Silver Dollar","Unmapped","Proof-62","5595.0","Pending","","",""
"1935","F","$1 Silver Certificate","USA Invoice Import","Unmapped","Crisp Uncirculated","$86.95","","","",""
"1949","D","Dime","Mercury Dime","Winged Liberty Head","Choice Uncirculated 63","$51.00","$10 – $15","","",""
"1943","D","Cent","Lincoln Cent","Lincoln Head","Ungraded","$0.00","$0.25 – $15.00","","",""
"1861","P","Half Dollar","Walking Liberty Half Dollar","Liberty Walking","Very Fine","$148.50","$600 – $900","","",""
"1894","","5 Cents","Liberty Head Nickel","Unmapped","Average Circulated","$54.00","Pending","","",""
"1935","S","Five Cents","USA Invoice Import","Unmapped","Fine","$0.00","","","",""
"2020","S","Dime","USA Invoice Import","Roosevelt","Choice Proof-63","$23.00","","","",""
"1990","","Proof Set","6-Coin Prestige Proof Set","Eisenhower Dollar","Proof-63","$82.95","$25 – $40","","",""
"2008","S","Quarter","State and Territory Quarters","Arizona","Choice Proof 63","9.5","$3 – $8","","",""
"","","Five Cents","The U.S. Nickel Collection","Nickel Assortment","","$31.80","","","",""
"2000","D","Quarter","State and Territory Quarters","Maryland","Uncirculated","1.95","$0.50 – $1.50","","",""
"1865","S","Half Dollar","Liberty Seated","No Motto","Very Good","$165.00","$350 – $500","","",""
"1923","S","Half Dollar","Walking Liberty Half Dollar","Unmapped","Very Good","$49.50","$35 – $55","","",""
"1894","","Barber Dime","Barber","Unmapped","AU-50","$395.00","Pending","","",""
"1935","","Half Dollar","Walking Liberty Half Dollar","Time Capsule","Circulated","$20.40","Pending","","",""
"1877","","Half Dollar","Liberty Seated","With Motto","Very Good","$126.00","$45 – $75","","",""
"1954","","Dime","Roosevelt Dime","Year Set","Circulated","$18.90","Pending","","",""
"2018","S","Half Dollar","Half Dollar Club Selection","Kennedy","Ch Proof-63","$47.50","","","",""
"1916","Pending","Dime","Barber Series","Liberty Head","Fine","$28.95","$5 – $15","","",""
"2023","","Dollar","The Ultimate Modern Morgan and Peace Silver Dollar Collection","Morgan Silver Dollar","Uncirculated","$229.00","","","",""
"","","$10","American Gold Eagle","Unmapped","MS-65","$489.00","$700 – $800","","",""
"1991","S","Quarter","Washington Quarter","Unmapped","Choice Proof 63","5.75","$5 – $10","","",""
"Pending","Pending","Dime","Barber Series","Unmapped","Fine","$235.00","$3 – $6","","",""
"1898","S","Dollar","Morgan Dollar","Liberty Head, Eagle","Very Fine","$112.50","Pending","","",""
"1836","","Capped Bust Silver Dime","Capped Bust Dime","Unmapped","Extremely Fine","$595.00","Pending","","",""
"1963","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","24.50","Pending","","",""
"1918","S","1 Dime","Mercury Silver Dime","Unmapped","Average Circulated","$29.25","Pending","","",""
"1920","D","1 Dime","Mercury Silver Dime","Unmapped","Average Circulated","$26.95","Pending","","",""
"2022","P, D","Quarter Dollar","American Women Quarters","US Women Quarter Set","Uncirculated","$0.00","","","",""
"1929","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"1938","","Dime","Mercury Dime","Winged Liberty Head","Very Fine","$19.00","Pending","","",""
"1936","","Quarter","Washington Silver Quarter","Unmapped","Gem Proof 65","1250.00","Pending","","",""
"2007","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$5.50","Pending","","",""
"1935","","Quarter","Washington Quarter","America Revisited Selection","Circulated","$20.40","Pending","","",""
"1981","P","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$4.95","Pending","","",""
"2015","D","Quarter","America the Beautiful Quarters","Kisatchie National Forest","Uncirculated","","Pending","","",""
"1944","P","Nickel","Jefferson Nickel","Thomas Jefferson, Wartime Nickel","Average Circulated","$0.00","Pending","","",""
"1921","P","1 Dollar","Morgan Dollar","Liberty Head","Extremely Fine","$79.00","Pending","","",""
"1883","O","$1","Morgan Dollar","Unmapped","NGC Ms63","2492.37","$85 – $110","","",""
"1903","","Penny","Indian Head Cent","Indian Head","Good","$8.25","Pending","","",""
"2016","S","$1","Presidential $1 Coin Program","Richard M. Nixon","Choice Proof 63","9.95","$4 – $8","","",""
"1928","S","Penny","Lincoln Cent","Unmapped","Average Circulated","$650.00","$1.50 – $3.50","","",""
"2011","D","$1","Presidential $1 Coin Program","James A. Garfield","Uncirculated","4.50","$2.00 – $4.00","","",""
"2025","P","Dime","USA Invoice Import","Unmapped","Uncirculated","$2.95","","","",""
"1955","","Quarter","Washington Quarter","America Revisited Selection","Circulated","$37.00","Pending","","",""
"2015","","Penny","America the Beautiful Quarters","Unmapped","Uncirculated","$0.25","$0.10 – $1.00","","",""
"","","$5","American Gold Eagle","Unmapped","MS-65","$207.00","$280 – $350","","",""
"1971","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1918","S","Dime","Mercury Dime","Unmapped","Average Circulated","$29.25","$3.50 – $8.00","","",""
"2010","S","$1","Presidential $1 Coin Program","Millard Fillmore","Choice Proof 63","18.50","$3 – $7","","",""
"N/A","","Nickel","Liberty Head Nickel","Unmapped","Ungraded","$159.00","$1.00 – $15.00","","",""
"1858","","Flying Eagle cent","Flying Eagle Cent","Eagle","Fine","$112.50","Pending","","",""
"2013","P","Quarter","America the Beautiful Quarters","Great Basin National Park","Uncirculated","$1.50","$0.50 – $2.00","","",""
"1953","","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","79.00","Pending","","",""
"2000","P","Quarter","State and Territory Quarters","Virginia","Uncirculated","2.25","$0.50 – $2.00","","",""
"1975","D","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$0.40","$0.15 – $1.50","","",""
"2023","","Peace Dollar","The Ultimate Modern Morgan and Peace Silver Dollar Collection","Unmapped","Ungraded","$0.00","$70 – $95","","",""
"1912","P","Barber Silver Dimes","Barber Dimes","Liberty Head","Very Good","$17.00","Pending","","",""
"1999","S","Quarter","State and Territory Quarters","Georgia Commemorative","Choice Proof 63","12.5","Pending","","",""
"1934","","Quarter","Washington Silver Quarter","Unmapped","Extremely Fine","34.25","$12 – $18","","",""
"1868","S","Half Dollar","Liberty Seated","With Motto","Good","$135.00","Pending","","",""
"2012","S","Dime","America the Beautiful Quarters","Unmapped","Choice Proof 63","22.50","$3 – $8","","",""
"1850","","Quarter","Liberty Seated","Unmapped","Very Good","$157.00","$45 – $75","","",""
"1913","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.50 – $3.00","","",""
"2018","W","Dollar","The West Point Burnished American Eagle Silver Dollar Collection","American Eagle","Uncirculated","$164.00","","","",""
"","","Five Cents","The U.S. Nickel Collection","SHIPMENT 7","","$31.80","","","",""
"2003","D","Quarter","State and Territory Quarters","Alabama","Uncirculated","2.75","$0.50 – $1.50","","",""
"1949","D","Quarter","Washington Silver Quarter","Unmapped","Fine","26.25","$6 – $9","","",""
"1961","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Extremely Fine","$38.75","$11 – $14","","",""
"1974","D","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$4.95","$1.50 – $4.00","","",""
"1986","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","17.95","$1.00 – $3.00","","",""
"2021","D","Native American Dollar","Native American Dollar Series","Military Service","Uncirculated","$0.00","$1.50 – $3.00","","",""
"2007","D","Quarter","State and Territory Quarters","Wyoming","Uncirculated","1.5","$0.50 – $1.50","","",""
"2023","S","Half Dollar","USA Invoice Import","Unmapped","Choice Proof-63","$69.95","","","",""
"2009","S","$1","Presidential $1 Coin Program","John Tyler","Choice Proof 63","7.95","$3 – $7","","",""
"1956","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","17.75","Pending","","",""
"2018P","","quarter","National Park Quarters","Unmapped","uncirculated","Points","$0.50 – $2.00","","",""
"1960","D","Penny","Lincoln Head Penny","Lincoln Portrait","Uncirculated","$0.75","Pending","","",""
"2024","D","Quarter Dollar","American Women Quarters","Patsy Takemoto Mink","Uncirculated","$0.00","","","",""
"1943","","Dime","USA Invoice Import","Unmapped","Fine","$15.50","","","",""
"1893","","Half Dollar","Barber","Liberty Head","Good","$75.80","$18 – $25","","",""
"1923","","Penny","Lincoln Cent","Unmapped","Average Circulated","$3.16","Pending","","",""
"1956","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","24.50","$8 – $15","","",""
"2023","","Quarter Dollar","The Celebrating America Coin Collection / American Women Quarters","Jovita Idar","","$17.95","","","",""
"2021","S","Dime","America the Beautiful Quarters","Unmapped","Ch Proof-63","$0.00","","","",""
"1965","","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$22.50","$8 – $12","","",""
"2023","D","Quarter Dollar","American Women Quarters","Maria Tallchief","Uncirculated","$1.00","","","",""
"2020","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$1.95","$1.50 – $3.50","","",""
"1979","S","Penny","Lincoln Cent Series","Abraham Lincoln","Proof-63","$8.95","$1.50 – $4.00","","",""
"1962","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","18.25","$3 – $6","","",""
"2014S","","","Clad  Proof Set 14 coins","Unmapped","ch proog 63","$90.95","$25 – $35","","",""
"1972","","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","2.50","$1.00 – $3.00","","",""
"1988","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","2.25","Pending","","",""
"1907","","$5 Legal Tender Note","American Paper Money Club Selection","Unmapped","Very Fine / Extremely Fine","$560.00","","","",""
"1944","","Quarter","Washington Silver Quarter","Unmapped","Average Circulated","points","Pending","","",""
"1992","S","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","4.25","Pending","","",""
"1909","P","Dime","Barber Dimes","Liberty Head","Very Good","$26.95","Pending","","",""
"1937","P","Half Dollar","Walking Liberty Half Dollar","Unmapped","Fine","$38.25","Pending","","",""
"","","Five Cents","The U.S. Nickel Collection","Nickel Assortment","","$31.80","","","",""
"2007","P","$1","Presidential $1 Coin Program","James Madison","Uncirculated","4.25","Pending","","",""
"1977","D","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","Pending","","",""
"1870","CC","Dollar","Seated Liberty","Unmapped","Fine","$1850.00","$12,000 – $16,000","","",""
"1916","S","Half Dollar","Walking Liberty Half Dollar","Unmapped","Average Circulated","$189.00","Pending","","",""
"2021","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$0.00","","","",""
"2023","D","Quarter","American Women Quarters Program","Jovita Idar","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1912","","Penny","Lincoln Cent","Lincoln Portrait","Average Circulated","$9.00","Pending","","",""
"1892","","Dime","USA Invoice Import","Barber","Good","$42.95","","","",""
"1856","","Large Cent","Braided Hair Large Cent","Liberty Head","Fine","$90.00","Pending","","",""
"2023","P","Half Dollar","Kennedy Half Dollar","Unmapped","Uncirculated","$1.95","","","",""
"1831","","Dime","U.S. Dime Collection Selection","Capped Bust","Extra Fine","$475.00","","","",""
"2024","D","Lincoln Cent","","Unmapped","Uncirculated","$0.00","$0.01 – $0.25","","",""
"1994","S","Quarter","Washington Quarter","Unmapped","Choice Proof 63","23.75","$3 – $8","","",""
"1956","","Five Cents","The U.S. Nickel Collection - Shipment 11","Thomas Jefferson","","$7.95","","","",""
"2025","P","Quarter Dollar","American Women Quarters","Ida B. Wells","Uncirculated","$1.00","","","",""
"1893","","$5","Liberty Head Gold Half Eagle","Liberty Head","MS-63","$895.00","$1,150 – $1,350","","",""
"2011","D","$1","Presidential $1 Coin Program","Andrew Johnson","Uncirculated","4.50","$1.50 – $3.00","","",""
"1976","","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","2.25","$1.50 – $4.50","","",""
"2001","S","Quarter","State and Territory Quarters","Rhode Island - Silver","Choice Proof 63","45.5","Pending","","",""
"2017P","","quarter","National Park Quarters","Unmapped","uncirculated","$2.25","$1.00 – $3.00","","",""
"2015S","","quarter","National Park Quarters","Unmapped","CH-Proof 63","$14.50","$3 – $7","","",""
"1980","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$4.50","Pending","","",""
"1947","","Half Dollar","Walking Liberty Half Dollar","Unmapped","Circulated","$24.20","Pending","","",""
"2013","W","Dollar","America the Beautiful Quarters","Unmapped","Ungraded","$288.00","$110 – $150","","",""
"2023","","Dollar","Peace Dollar","Unmapped","Uncirculated","$229.00","Pending","","",""
"1935","","Dime","Mercury Dime","Winged Liberty Head","Average Circulated","$11.75","$3 – $5","","",""
"1917","D","Penny","Lincoln Cent","Lincoln Portrait","Fine","$14.50","Pending","","",""
"2015","S","Dime","America the Beautiful Quarters","Unmapped","Choice Proof-63","$24.00","","","",""
"2017","P","Dollar","Native American $1 Coin","Cherokee Syllabary Sequoyah","Uncirculated","$8.10","","","",""
"1958","","Dime","Roosevelt Dime","Historical US Circulation Coins","Circulated","$18.90","Pending","","",""
"1944","S","Half Dollar","Walking Liberty Half Dollar","Liberty Walking","Very Fine","$39.25","Pending","","",""
"1943","","Half Dollar","USA Invoice Import","Unmapped","Extra Fine","$0.00","","","",""
"2014","P","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$1.95","Pending","","",""
"multiple","","Flying Eagle cent","Flying Eagle Cent","Eagle","Average Circulated","$0.00","Pending","","",""
"1909","","Penny","Lincoln Cent","Abraham Lincoln","Average Circulated","$0.00","Pending","","",""
"1947","D","Dime","Roosevelt Dime","Unmapped","Uncirculated","30.00","Pending","","",""
"1914","","Half Dollar","Barber Half Dollar","Liberty Head","Very Good","$300.00","Pending","","",""
"1893","","Cent","USA Invoice Import","Unmapped","Good","$0.00","","","",""
"1964","","Year Set","USA Invoice Import","Time Capsule Year Set","Circulated","$29.95","","","",""
"1957","","Quarter","Washington Quarter","Unmapped","Uncirculated","24.50","Pending","","",""
"1996","S","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","23.75","$5 – $12","","",""
"1837","","Half Dime","U.S. Dime Collection Selection","Capped Bust","About Uncirculated 50","$475.00","","","",""
"1926","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"1953","","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$4.50","$2 – $15","","",""
"","","Two Cents","The U.S. Coin Complete Denomination Set","Two-Cent Piece","","$75.00","","","",""
"1957","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Choice Proof 63","$72.95","$18 – $25","","",""
"1953","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Extremely Fine","$40.50","Pending","","",""
"2015","","Penny","America the Beautiful Quarters","Unmapped","Uncirculated","","$0.15 – $1.00","","",""
"1949","","Penny","Lincoln Cent","Abraham Lincoln","Not Graded","$0.00","$0.15 – $5.00","","",""
"2015","S","Quarter","National Park Quarters","North Carolina Blue Ridge Parkway","Uncirculated","$2.65","$1.50 – $3.50","","",""
"1843","","Quarter","Liberty Seated","Liberty Seated, No Motto","VF/EF","$210.00","Pending","","",""
"2006","","$5","American Gold Eagle","Unmapped","MS-65","$0.00","$290 – $340","","",""
"1970","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.40","$0.15 – $1.50","","",""
"1980","P","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Uncirculated","$11.95","$2 – $4","","",""
"1946","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","22.50","$6 – $12","","",""
"1984","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","3.25","$1.50 – $4.00","","",""
"2015","D","$1","Presidential $1 Coin Program","Lyndon B. Johnson","Uncirculated","2.95","$2 – $4","","",""
"1906","D","25 Cents","Barber Silver Quarters","Liberty Head","Ungraded","$26.00","$10 – $250","","",""
"2023","","$1","The Statehood Innovation Dollar Coin Collection","Mississippi","","$17.95","","","",""
"2013","D","$1","Presidential $1 Coin Program","Woodrow Wilson","Uncirculated","3.50","$2.00 – $4.00","","",""
"1877","CC","Quarter","Liberty Seated","Unmapped","Fine","$157.50","$350 – $500","","",""
"1914","S","Penny","Lincoln Cent","Abraham Lincoln","Very Good","$0.00","Pending","","",""
"2005","P","Quarter","50 State Quarters","West Virginia","Uncirculated","2.5","$0.50 – $1.50","","",""
"1881","S","1 Dollar","Morgan Dollar","Liberty Head","MS-63","$135.00","$95 – $120","","",""
"2016","P","1 Dollar","Native American $1 Coin","Native American","Uncirculated","$2.95","$2.00 – $4.00","","",""
"2023","","Cent","USA Invoice Import","Unmapped","Uncirculated","$0.00","","","",""
"2019","P","Quarter","America the Beautiful Quarters","American Memorial Park","Uncirculated","$1.75","$0.25 – $1.00","","",""
"2020","D","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","1.50","$0.15 – $1.00","","",""
"2024","","Dollar","American Innovation $1 Coin","Texas","Ungraded","$17.95","$1.50 – $3.00","","",""
"2023","D","Native American Dollar","Native American $1 Coin","Maria Tallchief","Uncirculated","$0.00","$1.50 – $3.00","","",""
"N/A","","Nickel","Liberty Head Nickel","Unmapped","Ungraded","$168.00","$1.50 – $150.00","","",""
"2020","","Dollar","American Innovation Dollar","Montana Crow","Uncirculated","$5.95","$1.50 – $3.00","","",""
"2003","W","Dollar","American Eagle","Unmapped","Proof-63","$129.00","Pending","","",""
"1955","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","14.75","$6 – $12","","",""
"2000","S","Penny","Lincoln Cent","Unmapped","Choice Proof 63","$2.95","$3 – $7","","",""
"1910","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"1972","S","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$0.55","Pending","","",""
"1920","S","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Good","$65.00","Pending","","",""
"2016","","Dollar","America the Beautiful Quarters","","Uncirculated","$29.95","Pending","","",""
"1953","","","Time Capsule Year Set","America Revisited Selection","Circulated","$96.00","","","",""
"2012","P","Quarter","National Park Quarters","Denali National Park","Mint State","$1.25","Pending","","",""
"1971","","Dime","Roosevelt Dimes","","Uncirculated","2.50","Pending","","",""
"1971","D","1 Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","Pending","","",""
"1907","","Five Cents","The U.S. Nickel Collection - Shipment 11","Liberty Head","","$7.95","","","",""
"2024","D","Half Dollar","USA Invoice Import","Kennedy Half Dollar","Uncirculated","$1.95","","","",""
"2023","S","Washington Quarter","American Women Quarters Program","Maria Tallchief","Proof-63","$29.95","Pending","","",""
"1976","S","Dollar","U.S. Bicentennial","American Bicentennial","Proof-63","$31.35","Pending","","",""
"1976","D","Dollar","Eisenhower Dollar","Dwight D. Eisenhower / Bicentennial","MS-65","$59.00","$15 – $25","","",""
"2015","S","$1","Presidential $1 Coin Program","Dwight D. Eisenhower","Choice Proof 63","8.75","$3 – $7","","",""
"1957","","Nickel","Jefferson Nickel","","Circulated","$21.80","Pending","","",""
"1943","D","Penny","Lincoln Cent (Steel)","Abraham Lincoln","About Good","$2.25","$0.10 – $0.25","","",""
"2013","D","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.25","$0.10 – $1.00","","",""
"1964","","Quarter","Washington Silver Quarter","","Average Circulated","21.50","$5.50 – $7.50","","",""
"2004","D","Dime","Roosevelt Dimes","","Uncirculated","2.00","$0.15 – $1.00","","",""
"1960","","Penny","Lincoln Memorial Cent","Lincoln Head","Uncirculated","$16.50","Pending","","",""
"1995","S","Quarter Dollar","USA Invoice Import","Unmapped","Ch Proof-63","$0.00","","","",""
"2025","D","Quarter","American Women Quarters","Juliette Gordon Low","Uncirculated","$1.00","$0.50 – $2.00","","",""
"1969","D","$1 Federal Reserve Note","American Paper Money Club Selection","Federal Reserve Note","Choice Crisp","$17.75","","","",""
"1970","S","Penny","Lincoln Cent","Lincoln Memorial Reverse, Large Date Variety","Proof 63 Choice","$6.50","$8.00 - $18.00","","",""
"","","Five Cents","The U.S. Nickel Collection","Shipment 12","","$31.80","","","",""
"2024","","$1","The Statehood Innovation Dollar Coin Collection","Michigan","","$17.95","","","",""
"1920","","Penny","Lincoln Head Penny","","Average Circulated","","$0.15 – $0.50","","",""
"1898","","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","About Uncirculated","$90.00","$45 – $55","","",""
"1976","","$2 Federal Reserve Note","American Paper Money Club Selection","Federal Reserve Note","Choice Crisp","$26.50","","","",""
"2016","D","$1","America the Beautiful Quarters","","Uncirculated","2.95","$2.50 – $4.50","","",""
"1863-1867","","10C Fractional Currency","USA Invoice Import","w/surcharge 0-63","Very Fine","$1,290.00","","","",""
"1952","S","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Fine","$40.50","$11.50 – $14.00","","",""
"1974","D","Penny","Lincoln Memorial Cent","Lincoln Head","Uncirculated","$0.40","$0.15 – $1.50","","",""
"1858","O","Half Dollar","Liberty Seated","No Motto","Fine","$139.50","Pending","","",""
"1951","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Very Fine","$35.95","Pending","","",""
"1951","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Choice Proof-63","$595.00","Pending","","",""
"2008","D","$1","Presidential $1 Coin Program","James Monroe","Uncirculated","4.75","Pending","","",""
"1982","S","Dime","USA Invoice Import","Unmapped","Ch Proof-63","$0.00","","","",""
"1937","","Quarter","Washington Silver Quarter","","Very Fine","24.25","Pending","","",""
"Multiple","","$1","Morgan Silver Dollar","","Uncirculated","4990","Pending","","",""
"1819","","Capped Bust Silver Half Dollar","The Half Dollar Club Selection","9/8 Overdate (Small 9/8)","XF Details","$495.00","Pending","","",""
"1958","","Dime","Roosevelt Dimes","","Uncirculated","17.75","Pending","","",""
"2002","D","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.55","Pending","","",""
"1974","D","Penny","Lincoln Cent","Lincoln Memorial Reverse","Uncirculated","$1.00","$0.10 - $0.75","","",""
"1871","","Nickel","","","Extremely Fine","$105.00","Pending","","",""
"2018","","American Silver Eagle Dollar","America the Beautiful Quarters","","Uncirculated","$0.00","$35 – $45","","",""
"2000","D","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.25","$0.15 – $1.00","","",""
"1930","S","Dime","USA Invoice Import","Mercury","Fine","$26.95","","","",""
"1918","D","Mercury Dime","","","Average Circulated","$29.50","$3.50 – $8.00","","",""
"1935","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"2024","D","Quarter Dollar","American Women Quarters","Zitkala-Sa","Uncirculated","$0.00","","","",""
"2000","S","Quarter","State and Territory Quarters","Virginia","Choice Proof 63","2.5","$4 – $10","","",""
"1964","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.40","$1 – $3","","",""
"1901","Pending","Dime","Barber Series","Liberty Head","Good","$23.95","$3 – $125","","",""
"1960","","Quarter","Washington Quarter","","Circulated","$18.60","Pending","","",""
"1974","","Penny","Lincoln Cent","Lincoln Head","Uncirculated (UNC)","$0.40","Pending","","",""
"1938","D","Dime","Mercury Dime","Winged Liberty Head","Fine","$23.50","$3.50 – $5.50","","",""
"2024","","Dollar","The Ultimate Modern Morgan and Peace Silver Dollar Collection","Morgan Dollar","Reverse Proof","$229.00","","","",""
"2007","W","Dollar","American Eagle","","Proof-63","$125.00","Pending","","",""
"1962","","","America Revisited Selection","Time Capsule Year Set","Circulated","$79.95","","","",""
"1912","S","Dime","Barber Dimes","Liberty Head","Good","$22.95","Pending","","",""
"2018","P","Quarter","America the Beautiful Quarters","Wisconsin Apostle Islands National Lakeshore","Uncirculated","$0.00","$0.50 – $2.00","","",""
"2024","D","Dollar","American Innovation Dollars","Missouri","Uncirculated","$0.00","","","",""
"1913","P","Barber Silver Dimes","Barber Dimes","Liberty Head","Very Good","$14.95","Pending","","",""
"1825","","Capped Bust Silver Quarter","","","Very Good","$325.00","Pending","","",""
"1911","","Half Dollar","Barber","Liberty Head","Very Good","$55.00","Pending","","",""
"2012","P","$1","Presidential $1 Coin Program","Chester A. Arthur","Uncirculated","3.50","Pending","","",""
"1924","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","Pending","","",""
"1936","S","Five Cents","USA Invoice Import","Unmapped","Average Circ","$6.25","","","",""
"1849","O","Seated Liberty Half Dime","","Stars","Choice About Uncirculated","$1875.00","Pending","","",""
"1942","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","Pending","","",""
"2018","","$1","America the Beautiful Quarters","","MS-70","310.0","Pending","","",""
"1950","","Cent","Lincoln Wheat Cent","America Revisited Selection","Circulated","$33.40","Pending","","",""
"1942","P","Half Dollar","Liberty Walking Half Dollar","","Extremely Fine","$41.50","Pending","","",""
"1952","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"2009","D","$1","Presidential $1 Coin Program","John Tyler","Uncirculated","4.95","Pending","","",""
"1954","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"2024","","Washington Quarter","Celebrating America Coin Collection","Dr. Mary Edwards Walker","Ungraded","$17.95","Pending","","",""
"1999","P","Dime","Roosevelt Dimes","","Uncirculated","2.00","Pending","","",""
"2003","S","Quarter","State and Territory Quarters","","Choice Proof 63","19.25","Pending","","",""
"2021","W","Dollar","American Eagle","Liberty","Superb Gem Proof","$0.00","","","",""
"2025","D","Quarter","American Women Quarters","Ida B. Wells","Uncirculated","$1.00","$0.50 – $2.00","","",""
"2024","","Quarter Dollar","The Celebrating America Coin Collection","Patsy Takemoto Mink","","$17.95","","","",""
"2007","","Dollar","American Eagle","","Uncirculated","$53.50","$38 – $48","","",""
"1905","Pending","Dime","Barber Series","Liberty Head","Proof","$925.00","Pending","","",""
"1935","D","Quarter","Washington Silver Quarter","","Average Circulated","25.95","$10 – $25","","",""
"1909","P","Penny","Lincoln Head Wheat Cents","","Mixed","$73.00","$2 – $150","","",""
