priority,flag,coin_id,year,program,denomination,mint_mark,condition,cost,quantity,description,personal_notes,source_file,question_for_AJ
2,Looks like a SET — confirm if individual coin or set record,3d8ab15e-b121-475e-85ea-6fff7588db75,1913,Barber Series,Dime,Pending,Very Good,$14.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,0bb5b09e-67f3-4834-94e2-58922165d47f,1914,Barber Series,Dime,Pending,Fine,$28.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,53bf8c07-9617-49f6-bce7-a8501f3f5f24,1914,Barber Series,Dime,S,Very Good,$27.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,727637e4-b6e0-49b1-9723-bbcc3e00e135,1914,Barber Series,Dime,D,Very Good,$26.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,118a821c-54ba-4b99-8840-9e43ba2f2a5e,1915,Barber Series,Dime,S,Very Good,$46.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,b2ce5486-2d51-4a83-82ce-e539c7e191dc,1915,Barber Series,Dime,Pending,Very Good,$26.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,2129dcac-2799-4d38-bff0-8900f5b17c59,1916,Barber Series,Dime,Pending,Fine,$28.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,b231f671-b1d9-4d04-86f9-99e4e9845d9c,1916,Barber Series,Dime,S,Good,$22.95,1,,Pending,,
2,Looks like a SET — confirm if individual coin or set record,216a48f3-cf16-4e8a-98d4-820c45e6f93f,Pending,Barber Series,Dime,Pending,Fine,$235.00,1,,Variety noted (specific type not detailed).,,
2,Year 'Pending' looks invalid,216a48f3-cf16-4e8a-98d4-820c45e6f93f,Pending,Barber Series,Dime,Pending,Fine,$235.00,1,,Variety noted (specific type not detailed).,,
2,Looks like a SET — confirm if individual coin or set record,c5244bae-0f9c-460b-b86b-4ee9b58e1798,1942,Birth Year Coin and Silver Commemorative Set,Coin Set,,Ungraded,$269.00,1,,Set contains various US coins from 1942 and a silver commemo,gs://studio-9101802118-8c9a8-uploads/invoices/0dc3b0b0-1c16-4852-b484-211f93b60d67_1769971859_Scan_20260128.pdf,
2,Missing Year,65b471d0-a182-4cd5-971b-f2121e93898d,,Buffalo Nickel,,,,,1,,,BUFFALO NICKELS.xlsx,
2,Missing Year,740898ca-a9dc-4c46-b1a0-3b51ff2e60d9,,Buffalo Nickel,,,,,1,,,BUFFALO NICKELS.xlsx,
2,Missing Year,7f2ac628-7dc3-4e1f-8c1a-721e25a5a72c,,Buffalo Nickel,,,,,1,,,BUFFALO NICKELS.xlsx,
2,Missing Year,9ff5191f-baef-4bbf-97e2-6247b0a440d2,,Buffalo Nickel,,,,,1,,,BUFFALO NICKELS.xlsx,
2,Looks like a SET — confirm if individual coin or set record,393be615-0383-4b0d-95d6-3a9e372935df,,Buffalo Nickel 3 coin All Mint set,,,fine,points,1,Buffalo Nickel 3 coin All Mint set,,miscellaneous purchases.xlsx,
2,Missing Year,393be615-0383-4b0d-95d6-3a9e372935df,,Buffalo Nickel 3 coin All Mint set,,,fine,points,1,Buffalo Nickel 3 coin All Mint set,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,ed7ca15b-e10b-4f6a-bdc4-2e3ab23c394b,11914-16,Buffalo Nickel 3 coin mint set,,,average circ,points,1,Buffalo Nickel 3 coin mint set,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,3bf1560c-b7db-44e8-8ef2-bbb13a400c66,1936,Buffalo Nickel Series,Nickel,,Very Fine,$0.00,1,,,gs://studio-9101802118-8c9a8-uploads/invoices/e28d8a64-fa39-489b-b0c3-d356c132b097_1769970708_Scan_20260128 (13).pdf,
2,Looks like a SET — confirm if individual coin or set record,9bfbe13e-d053-46be-9a02-fce044f9d2c2,1833,Capped Bust,Half Dime,,AU-58,653.00,1,,Tax Free Item. Part of U.S. Dime Collection Selection.,invoices/queue/b0316989-2954-4c18-a0c8-f997dc17d0ee_Scan_20260129 (29).pdf,
2,Looks like a SET — confirm if individual coin or set record,b35cc9b7-f8de-49fb-b0d3-6f342e032387,1837,Capped Bust,Capped Bust Silver Dime,,Average Circ,$136.00,1,,U.S. DIME COLLECTION SELECTION,invoices/queue/078aac3e-c835-45e8-af7e-7038d8a62512_Scan_20260129 (23).pdf,
2,Looks like a SET — confirm if individual coin or set record,c280895e-6094-4204-b5d1-6251cdca599b,1837,Capped Bust,Half Dime,,About Uncirculated,475.00,1,,Variety: Large 5C. Part of U.S. Dime Collection Selection. Q,invoices/queue/b0316989-2954-4c18-a0c8-f997dc17d0ee_Scan_20260129 (29).pdf,
2,Looks like a SET — confirm if individual coin or set record,628a6f98-7257-4414-963c-6be327f20228,1833,Capped Bust Silver Quarter Series,Capped Bust Silver Quarter,,Very Good,$371.50,1,,Variety 2. Part of a lot with 1807 Draped Bust Silver Quarte,,
2,Looks like a SET — confirm if individual coin or set record,39b04e68-45a8-4b80-9c88-d0901d621e20,,Celebrating America Coin Collection,,,Ungraded,$17.95,1,,"The specific coin (year, denomination) is not explicitly sta",invoices/queue/85294d49-0af6-4251-a63b-2b94b931714a_Scan_20260129 (67).pdf,
2,Missing Year,39b04e68-45a8-4b80-9c88-d0901d621e20,,Celebrating America Coin Collection,,,Ungraded,$17.95,1,,"The specific coin (year, denomination) is not explicitly sta",invoices/queue/85294d49-0af6-4251-a63b-2b94b931714a_Scan_20260129 (67).pdf,
2,Looks like a SET — confirm if individual coin or set record,5c8412e8-1bc6-48ab-8d58-73438a51be06,,Celebrating America Coin Collection,,,Ungraded,$17.95,1,,Shipment 9 of collection,invoices/queue/b248bd95-4d74-4ab4-9d7b-ae4275453762_Scan_20260129 (69).pdf,
2,Missing Year,5c8412e8-1bc6-48ab-8d58-73438a51be06,,Celebrating America Coin Collection,,,Ungraded,$17.95,1,,Shipment 9 of collection,invoices/queue/b248bd95-4d74-4ab4-9d7b-ae4275453762_Scan_20260129 (69).pdf,
2,Looks like a SET — confirm if individual coin or set record,81d0ccc0-0ebd-44e7-a644-7ff7ce9cc5f7,,Celebrating America Coin Collection,$1,,Ungraded,$17.95,1,,This is Shipment 15 of the collection. Specific denomination,invoices/queue/bb2fbe36-1403-4cd2-94a4-7ccaf1d197d9_Scan_20260129 (68).pdf,
2,Missing Year,81d0ccc0-0ebd-44e7-a644-7ff7ce9cc5f7,,Celebrating America Coin Collection,$1,,Ungraded,$17.95,1,,This is Shipment 15 of the collection. Specific denomination,invoices/queue/bb2fbe36-1403-4cd2-94a4-7ccaf1d197d9_Scan_20260129 (68).pdf,
2,Looks like a SET — confirm if individual coin or set record,2d47f4dc-2893-44d3-8d35-33d6ecf215fb,2024,Celebrating America Coin Collection,Washington Quarter,,Ungraded,$17.95,1,,Item is part of the 'Celebrating America Coin Collection'. ',invoices/queue/25f86298-3af0-49fb-9500-1c3c07491bfc_Scan_20260129 (70).pdf,
2,Looks like a SET — confirm if individual coin or set record,a34d398d-792c-40b8-a35e-4cb895462543,2001S,Clad  Proof Set 10 coins,,,ch proog 63,$40.50,1,Clad  Proof Set 10 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,3ac52092-ab2a-454d-9823-5a62daebf5c8,2018S,Clad  Proof Set 10 coins,,,ch proog 63,$146.00,1,Clad  Proof Set 10 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,c0699946-4625-46ef-ad1e-32dec04f60f9,2004S,Clad  Proof Set 11 coins,,,ch proog 63,$40.50,1,Clad  Proof Set 11 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,c3439d5a-b9c2-497f-a6ac-21a32bc94821,2016S,Clad  Proof Set 13 coins,,,ch proog 63,$119.00,1,Clad  Proof Set 13 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,24712445-a2b9-477f-ab46-4663d5834f35,2014S,Clad  Proof Set 14 coins,,,ch proog 63,$90.95,1,Clad  Proof Set 14 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,80bdf654-7187-46cd-8b29-025af073c16d,1971S,Clad  Proof Set 5 coins,,,ch proog 63,$18.50,1,Clad  Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,a51a5054-788f-457f-b29f-54d787de7acc,1982S,Clad  Proof Set 5 coins,,,ch proog 63,$22.50,1,Clad  Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,d1eff7aa-7484-4297-94fd-8675609d6ccb,1985S,Clad  Proof Set 5 coins,,,ch proog 63,$22.50,1,Clad  Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,07d4031a-a0bd-42a2-a702-a4e81b5b01e7,1989S,Clad  Proof Set 5 coins,,,ch proog 63,$23.95,1,Clad  Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,c81c7942-47c0-49c5-a53f-b1a1a9420a68,1989S,Clad  Proof Set 5 coins,,,ch proog 63,$19.50,1,Clad  Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,99046f2e-7d32-4957-acce-01f8e46399dc,1995S,Clad  Proof Set 5 coins,,,ch proog 63,$38.50,1,Clad  Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,0d7b3a6d-cd7e-4faf-88f7-6d03653b08c9,1976S,Clad  Proof Set 6 coins,,,ch proog 63,$33.95,1,Clad  Proof Set 6 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,ac6bb748-b5e9-46e2-b37f-06c67b56bb20,1977S,Clad  Proof Set 6 coins,,,ch proog 63,$30.95,1,Clad  Proof Set 6 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,5620bc6b-1206-486f-bbae-5b4bec6fca5f,1978S,Clad  Proof Set 6 coins,,,ch proog 63,$28.95,1,Clad  Proof Set 6 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,9e9cc96d-e1e0-401a-b2db-3f4d324696b6,1980S,Clad  Proof Set 6 coins,,,ch proog 63,$23.95,1,Clad  Proof Set 6 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,16514dac-1400-4c41-8b91-9a22ea5c5191,1983S,Clad  Proof Set 6 coins,,,ch proog 63,$26.50,1,Clad  Proof Set 6 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,f55555a4-2e15-4551-bba4-a3f03863a97a,1999S,Clad  Proof Set 9 coins,,,ch proog 63,$34.50,1,Clad  Proof Set 9 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,53595b63-0b7c-4715-9c24-e324de3aeb17,1983,Clad Proof Set,Mixed (Proof Set),S,Ch Proof-63,$0.00,1,,,invoices/queue/4b02071f-0765-4433-b812-1414d6c18df0_Scan_20260129 (55).pdf,
2,Looks like a SET — confirm if individual coin or set record,3c85311b-2391-4b6f-84ba-52a2cef9d096,2000S,Clad Proof Set 10 Coins,,,ch proof 63,$25.95,1,Clad Proof Set 10 Coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,b3adf0c3-5c6b-4a65-892a-accf5bc3c813,2002S,Clad Proof Set 10 Coins,,,ch proof 63,$28.50,1,Clad Proof Set 10 Coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,56965cd9-fcd6-4110-9db1-1de8bd398505,2003S,Clad Proof Set 10 Coins,,,ch proof 63,$26.50,1,Clad Proof Set 10 Coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,7d33a2ce-c0cd-40d8-a2d3-906cc80617cd,2006S,Clad Proof Set 10 Coins,,,ch proof 63,$32.95,1,Clad Proof Set 10 Coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,cb23c3dd-b320-4b2f-8c4b-30750587340d,2017S,Clad Proof Set 10 coins,,,ch proof 63,$126.00,1,Clad Proof Set 10 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,6a4b0ac2-123e-42c4-9a0b-fe97ff49c7c4,2022S,Clad Proof Set 10 coins,,,ch proof 63,$44.95,1,Clad Proof Set 10 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,eb1510e8-07f6-4ac4-9b00-e43bce8c4f70,2019S,Clad Proof Set 11 coins,,,ch proof 63,$78.95,1,Clad Proof Set 11 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,0ae6ce64-6ec6-4599-92dc-2413ef43b60c,2006S,Clad Proof Set 14 Coins,,,ch proof 63,$92.50,1,Clad Proof Set 14 Coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,767bca45-aabb-46ea-ac10-14c94118134c,2007S,Clad Proof Set 14 coins,,,ch proof 63,$56.00,1,Clad Proof Set 14 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,b97b09d3-c61a-482b-9311-63cf8cbeac7f,2008S,Clad Proof Set 14 coins,,,ch proof 63,$108.00,1,Clad Proof Set 14 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,7afa9416-4e1e-45c6-9c86-242716e90e3e,2013S,Clad Proof Set 14 coins,,,ch proof 63,$158.00,1,Clad Proof Set 14 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,83203916-5509-47aa-9131-d639ba17ed4e,2013S,Clad Proof Set 14 coins,,,ch proof 63,$90.95,1,Clad Proof Set 14 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,83ba22b0-4bb3-43cf-8560-d27e65a694bd,2015S,Clad Proof Set 14 coins,,,ch proof 63,$92.50,1,Clad Proof Set 14 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,5de66bea-05b5-4c3c-9ce4-620689d8852b,1968S,Clad Proof Set 5 coins,,,ch proof 63,$30.95,1,Clad Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,e914d030-594e-4715-91a1-9b26d3820c58,1987S,Clad Proof Set 5 coins,,,ch proof 63,$20.00,1,Clad Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,5bfd2a89-7bbd-4f78-b828-a88e574e340a,1998S,Clad Proof Set 5 coins,,,ch proof 63,$36.95,1,Clad Proof Set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,71692645-e377-4760-b4f5-814b888016b5,1979S,Clad Proof Set 6 coins,,,ch proof 63,$33.25,1,Clad Proof Set 6 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,530211bf-d177-40a1-b84c-e759d045103b,2021S,Clad Proof Set7 coins,,,ch proof 63,$44.95,1,Clad Proof Set7 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,5cfd9020-ef60-4a9c-b8e8-6ccfc4eb1b45,2005S,Clad Proof set  11 coins,,,ch proof 63,$23.50,1,Clad Proof set  11 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,50fd7f72-4416-4779-be91-5ca3b5d82381,1972S,Clad Proof set 5 coins,,,ch proof 63,$18.50,1,Clad Proof set 5 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,dbaced33-6b8a-409a-b312-07d9d5702cd6,2021S,Clad Silver Proof Set 7 coins,,,ch proof 63,$175.00,1,Clad Silver Proof Set 7 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,b2cffe39-88c2-4dd6-b09b-cff247e99883,2009S,Clad US Mint Proof set 18 coins,,,ch proof 63,$71.95,1,Clad US Mint Proof set 18 coins,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,594aaaef-70f6-4d77-8443-4da736df9153,1996S,Clad proof set 5 coins,,,ch proof 63,$31.50,1,Clad proof set 5 coins,,miscellaneous purchases.xlsx,
2,Missing Year,5da6b179-1043-43c8-9efb-53e7e89da6c1,,Club Selection,Quarter,,Ungraded,$239.00,1,,,,
2,Looks like a SET — confirm if individual coin or set record,ac023324-941d-4407-9ba6-823f7cf84f94,2018-20,Complete 50 Native American Quarters and folder,,,uncirculated,$259.00,1,Complete 50 Native American Quarters and folder,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,ff1b0cbf-eb90-4502-b450-504458f709df,1807,Draped Bust Silver Quarter Series,Draped Bust Silver Quarter,,Very Good,$371.50,1,,#2. Part of a lot with 1833 Capped Bust Silver Quarter. Tota,,
2,Looks like a SET — confirm if individual coin or set record,1fd98ac1-c81a-4282-af63-fb7d669574c5,1971,Eisenhower Dollar,Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,29789c64-8014-4b8b-9554-193654d70512,1971,Eisenhower Dollar,1 Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,4228ebd9-8618-45ae-ade0-cd249c7eeb45,1971,Eisenhower Dollar,1 Dollar,S,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,4534f6bd-0833-4ee1-8b7c-d03a090e1e73,1971,Eisenhower Dollar,Dollar,S,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,4b9cf4c8-18e1-4be6-9924-bd42e51c401e,1971,Eisenhower Dollar,Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,6e7822ee-9160-410c-847e-e7e783ec9c13,1971,Eisenhower Dollar,Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,867a2a10-9033-4dec-842b-b296d37b47c9,1971,Eisenhower Dollar,1 Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,c4307811-0a9e-421f-afba-69871cac8814,1971,Eisenhower Dollar,1 Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,03368cca-ca64-4136-880f-eb79343fa80e,1972,Eisenhower Dollar,Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,33213e3a-7b75-453c-9434-284c348c6bfa,1972,Eisenhower Dollar,1 Dollar,D,Uncirculated 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,4d5fb81a-5c84-48d4-8c00-c6b52ed477cd,1972,Eisenhower Dollar,Dollar,S,UNC-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,51bf2885-9ae1-4987-8713-da11d7b7bd0c,1972,Eisenhower Dollar,Dollar,D,MS-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,6a60f0a3-474d-45a9-8821-f919781ccd13,1972,Eisenhower Dollar,1 Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,7a11171c-461d-44ca-81f1-0ac86f5b86de,1972,Eisenhower Dollar,1 Dollar,S,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,e897940b-5cf6-4952-84d4-a50fd97d6dd2,1972,Eisenhower Dollar,Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,ec1df576-3bac-40ec-9d3a-22ec4564c97f,1972,Eisenhower Dollar,1 Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,077931ce-b10c-4c80-8e4f-b0e52335a759,1973,Eisenhower Dollar,Dollar,S,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,17992107-9860-4de2-a7c0-cdec46b65a17,1973,Eisenhower Dollar,1 Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,196f9db1-34c0-41ed-b693-ddfce9ed6ec2,1973,Eisenhower Dollar,1 Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,3d890897-dc2e-406e-a4e2-1a4873eda5d3,1973,Eisenhower Dollar,1 Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,41c3b012-0737-4180-a883-632ceb413d31,1973,Eisenhower Dollar,Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,42c00cb2-5e26-4157-bbe8-e0c1bd019836,1973,Eisenhower Dollar,Dollar,D,MS-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,d62fdb8a-2f6c-483c-8046-18265eaa074c,1973,Eisenhower Dollar,1 Dollar,S,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,dd970bfb-98b8-463b-b1cb-988c4f406c3a,1973,Eisenhower Dollar,Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,12f2f133-92ac-4e29-8253-940b2ae05210,1974,Eisenhower Dollar,Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,2e17b559-4eb3-4a77-8a21-8e3161dae699,1974,Eisenhower Dollar,Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,36500840-9116-423f-ba94-fb64292f98e1,1974,Eisenhower Dollar,1 Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,57cd5eb7-6d95-44f3-89fa-e96ce2005f31,1974,Eisenhower Dollar,Dollar,S,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,a5198aaa-2b99-4de0-be93-525fa1024f3a,1974,Eisenhower Dollar,1 Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,ee5243cb-020c-4607-beaf-4505235a24c1,1974,Eisenhower Dollar,Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,ef7b0ecc-f8b9-4d21-bb68-1328d26196a7,1974,Eisenhower Dollar,1 Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,f8a14d7d-1ced-4988-bb01-00bdedc9d6d1,1974,Eisenhower Dollar,1 Dollar,S,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,66392547-33fc-43be-904a-fffed5743bb8,1976,Eisenhower Dollar,Dollar,D,Uncirculated,$13.50,1,,Part of 1976-D Type 1 & Type 2 Eisenhower Dollar Set (BB43).,gs://studio-9101802118-8c9a8-uploads/invoices/ab37fc17-6951-406d-9bf1-51add3fa8dc5_1769971182_Scan_20260128 (16).pdf,
2,Looks like a SET — confirm if individual coin or set record,761a005f-578d-41c6-b6b4-7b81fefd1eac,1976,Eisenhower Dollar,Dollar,D,Uncirculated,$13.50,1,,Part of 1976-D Type 1 & Type 2 Eisenhower Dollar Set (BB43).,gs://studio-9101802118-8c9a8-uploads/invoices/ab37fc17-6951-406d-9bf1-51add3fa8dc5_1769971182_Scan_20260128 (16).pdf,
2,Looks like a SET — confirm if individual coin or set record,24e8e7f2-bb17-423e-adf9-a3be9d278680,1977,Eisenhower Dollar,Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,5e6e26e8-622b-4365-a45f-7b163cca0f6a,1977,Eisenhower Dollar,1 Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,637e51e2-3e83-4e6b-bed6-cfb512b87ba5,1977,Eisenhower Dollar,1 Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,63fcde93-33af-40f3-af2b-24cba4b3188a,1977,Eisenhower Dollar,Dollar,,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,942cd772-4325-469c-9e31-67c987ca0f02,1977,Eisenhower Dollar,Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,f67de2ee-9aa9-4692-9875-d5b17748fa68,1977,Eisenhower Dollar,1 Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,1266e7a0-a18b-40aa-b34a-8a9631567043,1978,Eisenhower Dollar,1 Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,306ac562-2c2e-4138-afae-0c598a9d9893,1978,Eisenhower Dollar,Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,513eecef-c1ab-4c9a-a385-d7fe87cd1e09,1978,Eisenhower Dollar,1 Dollar,S,Proof-63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,a00ee744-24a7-4522-96d1-4766814dfb92,1978,Eisenhower Dollar,Dollar,D,UNC 63,$31.35,1,,1971-1978 Eisenhower Dollar Set with Album,,
2,Looks like a SET — confirm if individual coin or set record,4583bee5-e188-46f6-bec7-991df646c3b2,1971-78,Eisenhower Dollar set 16 coins with lbum,,,unc Proog 63,points,1,Eisenhower Dollar set 16 coins with lbum,,miscellaneous purchases.xlsx,
2,Looks like a SET — confirm if individual coin or set record,a7e2f803-1ccd-46ea-a7c1-7be33f4ee08b,1981S,Filled S Proof Set 6 Coins,,,ch proof 63,$24.95,1,Filled S Proof Set 6 Coins,,miscellaneous purchases.xlsx,
2,Year 'multiple' looks invalid,27321715-bc5e-4dff-965a-e405d126bed9,multiple,Flying Eagle Cent,Flying Eagle cent,,Average Circulated,$0.00,1,,Year input: 1856-1909,,
2,Looks like a SET — confirm if individual coin or set record,c88df2f6-830f-4246-8dea-db43d5c47c42,,George Washimgtom Coin Note and stamp set,,,,$29.95,1,George Washimgtom Coin Note and stamp set,,miscellaneous purchases.xlsx,
