doc_id,description,denomination_parsed,series_year_parsed,type_parsed,issuer_parsed
a7c7b0c3-5fb5-4255-ae4e-2fa788ba24f8,$20 Gold Certificate,$20,,Gold Certificate,
a8433dfe-cdef-4e97-ac88-97a27e592676,$1 Ferderal Reserve Note,$1,,,
a870b80d-bd71-458a-aa99-c0bdaff79464,$1 Federal Reserve Note,$1,,Federal Reserve Note,
a89c4662-dcbb-4b53-a4b3-171ff779e1a0,$50 Federal Reserve Note,$50,,Federal Reserve Note,
a8a00966-e593-40b0-8856-4044a6609e56,$1 Silver Certificate - No Yellow Seal,$1,,Silver Certificate,
ab4c04f3-692c-4d86-8cf7-474b327aa7e7,$1 Federal Reserve Bank Note Large Size,$1,,Federal Reserve Bank Note,
ab9458d8-6487-4970-a8ce-38646717444a,$5 Silver Certificate,$5,,Silver Certificate,
abce5a9c-25b1-4bbc-961f-50b0d1397521,$5 federal reserve star note,$5,,,
ad94e93f-1c47-4554-8003-eed0e4c9aef1,$5 Federal Reserve Red Seal Note Large size,$5,,,
ae619cb4-d90b-4bbd-9e63-56d90f24e5d7,$1 Bank of America State of Rhode Island W_RI-820-001-00108,$1,,,
afa108d9-96e4-4840-b559-67f6b2785c21,$1 Federal Reserve Star Note,$1,,,
b0138b17-311a-45cc-9a93-9206b401a49e,World War II Hawaii and yellow seal silver certificate set,,,Silver Certificate,
b0407c13-17fe-4400-997f-8a8fa9abeeaf,10C Fractional Currency,10,,Fractional Currency,
b0a04f63-8daf-4bbe-9d63-8dfd4caf48a6,$2 Legal Tender Star Note,$2,,Legal Tender Note,
b0efe82b-310a-4286-b5ef-73084dd0bcbf,$10 State of Georgia Note From Milledgeville,$10,,,
b2298557-2a79-4cca-9c08-3216ce6bef88,$10 Federal Reserve Bank Note,$10,,Federal Reserve Bank Note,
b427cec9-2631-4ba6-b994-5cce57a67fd1,$1 silver certificate,$1,,Silver Certificate,
b448cf38-44d7-4541-a32b-ac378c67c185,$1 Fedreral Reserve Note,$1,,,
b4492142-593e-4f87-960a-536db5224c48,$2 Federal reserve star note,$2,,,
b4ab6acc-0e3d-4fbe-9fa1-7a657b05686b,$2 Federal Reserve Note with courtsey signed Mary Ellen Withrow Autograph (FR1936F),$2,,Federal Reserve Note,
b542e73a-3dd6-4722-a0b6-f96602067680,$1 Federal Reserve Note,$1,,Federal Reserve Note,
b5694584-c8d3-48ed-bfe9-832846358029,$5 silver certificate,$5,,Silver Certificate,
b5d0d3ff-ea58-474f-8510-400ff9620d26,$1 Federal Reserve Star Note,$1,,,
b65865b8-2295-4f23-9c4b-47a30d7bbc22,$5 Silver Certificate Indian Large size,$5,,Silver Certificate,
b6d22d4c-694a-4e98-b331-31f7c943d8ea,$1 Federal Reserve Star Note,$1,,,
b7306c36-314e-451c-8b5c-8cc951f88f18,$! Silver certificate large size PCGS PPQ64 2 consecutive serial #s (FR238),,,Silver Certificate,
b79e9dcb-5626-44ce-a69d-0474e02faea1,$1 Ferderal Reserve Star Note,$1,,,
b7d78c3f-079b-474f-ae8a-845acf1885bd,$1 Federal Reserve Note,$1,,Federal Reserve Note,
b8b96983-3928-4f0b-8af6-e0e3cd329fae,$2 Federal Reserve Note,$2,,Federal Reserve Note,
b9ac73ff-3e33-45d9-841e-555e2d4f4217,$1 Federal Reserve Note,$1,,Federal Reserve Note,
ba8b6759-f931-46d6-acc8-f979d167b0e4,$1 Federal Reserve Bank Note Large size PMG EPQ 65,$1,,Federal Reserve Bank Note,
bb0d8d9a-8549-482e-974e-ea0b776d9aa2,$1 federal reserve note,$1,,Federal Reserve Note,
bb777fe7-7a21-49dd-aea3-77cbf34ef035,50 Conferate Note,,,,
bca4f87f-3bec-45b6-b03c-c0dcd3149366,$1 Silver Certificate Large Size Martha Washington,$1,,Silver Certificate,
bcaeb92a-c7f2-489f-8da4-7f423b8c812e,$1 Federal Reserve Note,$1,,Federal Reserve Note,
bd1d545f-52d3-4a19-95ad-af1412a41c98,$100 Legal Tender Note,$100,,Legal Tender Note,
bda5379d-d182-463d-b46f-945b9f97087f,$1 Silver Certificate,$1,,Silver Certificate,
bdc7e4c8-e220-4714-917e-e65844c9a0e9,$500 Federal Reserve Note,$500,,Federal Reserve Note,
bdd37684-5796-46b9-87b5-7240eabd21c7,$20 National Bank Note Large size third issue (Plain back),$20,,National Bank Note,
be0b5e30-8f6c-4b48-b30e-0f526a5c01af,$1 Silver Certificate Large Size PCGS,$1,,Silver Certificate,
be40d2ef-1061-4611-8d6a-2c84fd29a439,10C Fractional Currency,10,,Fractional Currency,
be431d7d-e9e8-475f-a13f-323b63808bf7,$2 Federal Reserve Star Note,$2,,,
be4dc957-dae7-491d-8279-d5013bd0a2ad,$1 silver certificate,$1,,Silver Certificate,
be97b17d-e346-4213-b123-71f7a59fb3d6,$2 Federal Reserve Note,$2,,Federal Reserve Note,
bf35ce79-068d-4d96-8b49-70efed55acdc,#3 West River Bank Vermont Note Jamaica,,,,
bf4391dc-95a6-47de-b5aa-76a752ad0316,$1 Silver Certificate Star Note,$1,,Silver Certificate,
bf62e319-76b2-4897-af3f-a375682145c4,$1 Silver Certificate Eagle large size Star Note,$1,,Silver Certificate,
c0f11f40-29a8-4503-908a-5ba0d269e2c0,$1 Bamk of Windsor Vermont PMG,$1,,,
c0f6ca0c-b618-4703-96f2-45735307b2d9,$10 Silver Certificate,$10,,Silver Certificate,
c12fbd3d-ced1-4ae6-864d-298fa940a09a,$5 legal tender note Large size PCGS choice about new PPQ58,$5,,Legal Tender Note,
c1b68828-53c5-4b9d-ab69-3eb3b636f69e,$10 Confederate Note,$10,,Confederate,
c1be944b-d999-41eb-a178-e8749c0418b2,$5 Federal Reserve Note - Large Size,$5,,Federal Reserve Note,
c1c65d19-ea92-4829-9baf-9962bba1c97f,$5 National Bank Note Dennison Ohio charter #6843,$5,,National Bank Note,
c21c58d7-7bfb-4ec8-926d-ca8b0a063be9,5C Fractional Currency,5,,Fractional Currency,
c33678b2-58b4-4778-b24c-4480a01f3e12,$1 federal reserve Star Note,$1,,,
c35fa411-9f3b-4864-829f-d45fab43f053,$1 Federal Reserve Note,$1,,Federal Reserve Note,
c3653ae1-e572-4db4-a088-6b3f4f430dae,$2 Federal Reserve Note,$2,,Federal Reserve Note,
c549ddae-778b-4eec-8b33-2010fc13355f,$2 federal reserve note,$2,,Federal Reserve Note,
c5da0c2c-3160-4086-b40e-ce4a044dfaeb,2C Fractional Currency,2,,Fractional Currency,
c6553232-f82e-467c-aa0c-3fafe3adf980,$2 Federal Reserve Note - 1st day issue with Stamp,$2,,Federal Reserve Note,
c67a200d-53e4-4f2d-8e6a-2dba272364bd,$2 Confederate Note,$2,,Confederate,
c70e382f-ca6f-4702-8e41-c9d7cce4c425,$1 Federal Reserve Note,$1,,Federal Reserve Note,
c75463e5-ac86-438c-b717-02e4a7cad963,$1 Silver Certificate,$1,,Silver Certificate,
c79fcdc8-c79d-4d23-acd3-0b77870992a3,$2 Legal Tender Note,$2,,Legal Tender Note,
c7a95f65-dc1e-4534-9cd1-78224845c407,$1 Federal Reserve Note 7 of a Kind,$1,,Federal Reserve Note,
c7bb2f5b-3afb-483d-b5d9-a12b8f31ceb2,$2 Silver Certificate Large Size,$2,,Silver Certificate,
c7fe1c85-7ab5-465e-a957-b6b8b807e4ce,$2 Silver Certificate Large Size,$2,,Silver Certificate,
c8222810-d0aa-4e23-9ed7-fe3b246bf00f,$10 Federal Reserve Note Hawaii,$10,,Federal Reserve Note,
cb217e2d-811f-48ca-87be-559b82694809,$1 federal reservve note,$1,,,
cb6b1aeb-16aa-4ff9-b39f-a3a97633bd43,$1 silver certificate wide design,$1,,Silver Certificate,
cbec4d30-83f0-4961-bae4-ab8c69a3fca5,$5 Legal tender Note,$5,,Legal Tender Note,
ccf39c49-31d9-4a5d-9e7b-7dbb60d44d7e,$1 Federal Reserve Note,$1,,Federal Reserve Note,
cf95f460-5165-473c-ab9d-d6736956b81a,$1 Federal Reserve Star Note,$1,,,
cfbe5c4b-ad5e-41e9-8fdc-374bb4d6dece,$5 Legal Tender Star Note,$5,,Legal Tender Note,
d042604e-65e9-4bc6-bddf-67b13aeb8c49,$! Treasury Note Large size,,,Treasury Note,
d235728c-9326-49f2-970e-0fab6dcc655f,$1 Legal Tender Note Large Size,$1,,Legal Tender Note,
d27ddc4f-063d-4adf-bfcd-9392e40239fa,$5 Confederate Note,$5,,Confederate,
d2f80645-f050-40f2-894f-fd4126c66c9c,$1 Federal Reserve Note,$1,,Federal Reserve Note,
d3aabb05-5708-4ea5-b2d3-d6307d49c01b,$2 Federal Reserve Note,$2,,Federal Reserve Note,
d3d8b11d-d555-4d88-a292-5fa27b206fb4,$1 silver certificate,$1,,Silver Certificate,
d3f76b10-1455-42dc-bb89-c0e3b4696ece,$5 National Bank Note large size Lewiston ME charter #330,$5,,National Bank Note,
d45fa07f-4370-43f8-aa43-e2569f84b570,$5 Federal Reserve Note - Large Size,$5,,Federal Reserve Note,
d4965885-02ee-4b7e-8348-e5eb3b25fac2,$1 Silver Certificate Narrow Design,$1,,Silver Certificate,
d4d8e301-8238-4f81-93a8-70f5b04bb761,$1 federal reserve note,$1,,Federal Reserve Note,
d540ffb6-aef7-456c-a30b-1075e715a4ab,$1 silver certificate,$1,,Silver Certificate,
d5cbb68d-a4e4-4f43-917b-0a5876899048,$1 silver certificate Hawaii,$1,,Silver Certificate,
d62d2ace-b967-40e3-84aa-5f45f6edfb5c,"$10 National Bank Note Type 2 Nashua, NH charter # 1310",$10,,National Bank Note,
d64b6f7d-e05f-4a7d-9e55-f1b3571777ed,$1 Silver Certificate Funnyback Star Note,$1,,Silver Certificate,
d7833c80-d073-4949-94bc-c4d535d86107,$1 Silver Cerificate Large Size,$1,,,
d78f0dfe-24f3-4ab8-84d5-cea22772e09a,$1 Federal Reserve Note,$1,,Federal Reserve Note,
d7d0414f-de22-4893-94cb-937a2bc3ebb4,15C Fractional Currency,15,,Fractional Currency,
d9d75c78-21dc-4776-a872-44f8ac66dd34,5 National Bank Note Oakland Maryland #13776  V fine/EF,,,National Bank Note,
d9d96ac1-417b-4088-96ea-7aa1f39aea10,#2 Leal Tender Star Note,,,,
da327acc-9708-4332-98c1-0fb0d82b9379,$5 Silver Certificate,$5,,Silver Certificate,
da5722c0-8b83-45f0-b0c2-779f05d21660,$1 federal reserve star note,$1,,,
da735250-20a9-4f50-a215-6bf6728a727d,$20 Gold Certificate Large Size,$20,,Gold Certificate,
db32c602-6299-4498-b8a2-7c7167e8cd11,$1 Federal Reserve Note,$1,,Federal Reserve Note,
dba43bd9-514a-4ef1-be59-71a35b6ed2a0,$5 Federal Reserve Note Large Size,$5,,Federal Reserve Note,
dbf777f4-fba3-4f66-b9a5-15fc7bfd3d90,$20 National Bank Note Large size Third Issue (Plain Back),$20,,National Bank Note,
dc122fde-efab-454f-8c5d-423228facd9b,% cents fractional currency PCGS,,,Fractional Currency,
dc94176a-8faf-4149-9b47-65173ec4fbb1,$1 Legal Tender Note Large sixe PCGS,$1,,Legal Tender Note,
ddad60d4-8497-4fca-96b7-f295dc145171,$2 Federal Reserve Note,$2,,Federal Reserve Note,
ddaffba8-1b0e-494e-a658-f42f5bccea62,$1 Federal Reserve Star Note,$1,,,
de0e80de-ebf3-4ac8-9998-6a87514be086,$5 Confederate Note Cut Cancelled,$5,,Confederate,
de791f2c-48f3-48ed-af8c-8842140080b1,$1 silver certificate,$1,,Silver Certificate,
df2e6ec8-ca64-4930-afaa-76c7a55e38a4,$500 3rd Bank of the United States Philadelphia PA Haxby 3 PCGS,$500,,,
dfb2d06a-7254-404f-9b3a-cb6d93b998d4,$1 silver certificate with motto,$1,,Silver Certificate,
dfea2ebd-8b66-43c8-a21a-02cc02b6aa64,$5Legal Tender Note,$5,,,
e07580e7-f19e-44ea-b8cc-dcc4ada27f32,$1 Federal Reserve Star Note,$1,,,
e1e2921b-55fe-480f-9206-d1d7190bc0c4,$1 Federal Reserve Bank Note large size PCGS PPQ35,$1,,Federal Reserve Bank Note,
e201deae-06b0-46a5-9206-bf024f2dd25a,$5 silver certificate Large size Indian,$5,,Silver Certificate,
e24971c5-2d60-465f-a7b2-5fb824b56e2d,$100 Federal Reserve note large size,$100,,Federal Reserve Note,
e3b8bbf9-4416-447d-a124-a1ce8c3d8335,$1 Federal Reserve Note,$1,,Federal Reserve Note,
e4abb3d1-6835-4134-9d96-8fefb14281a5,25C Fractional Currency,25,,Fractional Currency,
e5ca8883-d3d0-43b0-af70-d22289357b20,25C Fractional Currency,25,,Fractional Currency,
e71e9192-1ba6-4f18-a614-3b31b268b5eb,$2 federal reserve note,$2,,Federal Reserve Note,
e94f7f6a-d924-4930-aeee-0093045ad0ea,$5 Federal Reserve Star Note,$5,,,
e9c01036-cade-45cc-b959-99a0b9a9aa92,$1 Federal Reserve Note,$1,,Federal Reserve Note,
ea5866db-e7cd-4a20-86f7-0a35f3760acb,$1 Federal Reserve Radar Note,$1,,,
eb22cb95-582b-4a94-b78e-6d81ae7cb4a8,$1 Federl Reserve Note 4 Subject Sheet with Withrow Courtsey Autograph,$1,,,
ec3916df-8c41-4f7f-9bb2-a0a4f19cb91a,$1 Silver Certificate Funnyback,$1,,Silver Certificate,
ed88d202-b144-475a-83ac-7ae8e405b0d6,$20 National Bank Note T2,$20,,National Bank Note,
ee958b47-da4f-46ef-aad9-280e44a23502,$1 silver certificate Large size PCGS PPQ64 cpnsecutive serial numbers,$1,,Silver Certificate,
eeece5b0-292f-4371-a169-65d58683d83b,$5 Silver Certificate,$5,,Silver Certificate,
f0ab304f-4f6a-45b2-b7fe-37e2283fb22a,$1 Silver Certificate Large Size,$1,,Silver Certificate,
f0e5fbe8-329a-4942-a665-cecd159d991e,10C Fractional Currency,10,,Fractional Currency,
f1c7a84d-5ce3-4537-b846-01296a469d67,$1 Federal Reserve Star Note,$1,,,
f282ec15-bcaf-4b7d-bdb5-297b597797aa,$10 National Bank Note Type 1 Waynesboro PA charter #11866 PMG  EPQ 64,$10,,National Bank Note,
f2964c90-667d-4410-b6dc-4539403ddd01,Federal Reserve Bank Note Large size PMG,,,Federal Reserve Bank Note,
f30166f8-3f2c-4177-9050-79262b0d8f13,$10 Federal Reserve Note,$10,,Federal Reserve Note,
f35ef8cf-44bb-47ef-809d-48137dacde05,$1 Silver Certificate Large Size PCGS PPQ64,$1,,Silver Certificate,
f3a6fb42-e0a4-4ce2-8de8-779354a37fba,$1 Federal Reserve Note,$1,,Federal Reserve Note,
f3f5514e-c53e-4a42-988d-8fd4c76ef45c,25C Fractional Currency,25,,Fractional Currency,
f4189966-2354-4e73-9d3c-f67cd095b365,$1 Ferderal Reserve Note,$1,,,
f4aa820a-2f49-484e-987b-98fbc2a83188,7 note set West Riverbank Jamaica VT,,,,
f637e7d8-ef8b-4acf-87cc-26ecaed3b456,$5 Silver Certificate Yellow Seal PCGS PPQ,$5,,Silver Certificate,
f649ca98-9389-4662-8426-b8d30fa1f5ec,$1 Federal Reserve Note,$1,,Federal Reserve Note,
f6b100d2-d353-488a-9fbb-486177e300cf,$2 Federal Reserve Note,$2,,Federal Reserve Note,
f708fe82-714c-4d24-b629-488ecef09db5,$5 Legal Tender Star Note,$5,,Legal Tender Note,
f76398a8-328f-4ac8-b243-a11145e0d5c0,$5 Legal Tender Note,$5,,Legal Tender Note,
f76f719d-40ac-45db-91de-edc255716be0,$1 Silver Certificate Narrow Design Star Note,$1,,Silver Certificate,
f772e254-469e-42af-bc18-9bf15a85709a,$1 Federal Reserve Note,$1,,Federal Reserve Note,
f7d7f452-e40b-4ed2-a45c-1a2e75d7af09,$2 Federal Reserve Note,$2,,Federal Reserve Note,
f8410502-4f22-4ac6-a104-ce8c7d5ad0b4,$1 federal reserve star Note,$1,,,
f8738f58-afc1-4c59-98b2-d837b41a3941,15C Fractional Currency,15,,Fractional Currency,
f8a40b38-36c4-44fb-852c-d7a31b7a10fe,50C Fractional Currency,50,,Fractional Currency,
f9950251-a300-49b0-8ce0-9e8a7c34023e,$2 federal reserve star note,$2,,,
fa227719-755f-4306-8f27-94eea9f0501f,5C Fractional Currency,5,,Fractional Currency,
fa5d4adf-6e69-4904-a06f-bf0665a80a19,19th Century Obsolete Currency,,,,
faa775f5-873b-418d-9315-b23f4196b837,$2 legal tender note,$2,,Legal Tender Note,
fb15284a-daa0-4a0a-9f4d-3b9e8cc71341,$! Silver certificate large size PCGS PPQ63 2 consecutive serial #s (FR237),,,Silver Certificate,
fbad48a0-786d-4586-a772-fe6a4fab0e39,1 silver certificate Note Yellow Seal PCGS PPQ,,,Silver Certificate,
fc7982a2-327e-4879-8491-92c7833c5ea3,$1 Silver Certificate Large Size PCGS PPQ65 2 consecutive Serial #s (FR 238),$1,,Silver Certificate,
fc9c1d56-eaf1-4fd1-a92d-8acd5a0bd539,$1 silver certificatee funnyback,$1,,Silver Certificate,
fca0055f-df47-4d7d-b0e1-0f447d337d52,$14 Federal Reserve Note,$14,,Federal Reserve Note,
ffb71e8c-3646-4d9e-b468-2d01b8d929d1,$1 federal reservve note,$1,,,
