year,mint,series,name,denom,est_value,index_key,coin_id
1882,CC,Morgan Silver Dollar,1,1,Pending,,32e96aca-94db-46a4-89af-90f0ebd6bc16
1960,,Lincoln Cent,Penny,Penny,Pending,,32ef37c1-68e2-4552-9717-e7204cdd3bb8
1998S,,Roosevelt Dimes,Dime,Dime,Pending,,32f46181-01ce-43ef-a4a4-e381720e0be4
1972,D,Eisenhower Dollar,1 Dollar,1 Dollar,Pending,,33213e3a-7b75-453c-9434-284c348c6bfa
2013,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,332d02ec-73bf-4db4-a5fc-27f094aafb4b
2006,S,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,3335816b-f54b-4691-8fee-a105fadb11bf
1996,D,Lincoln Cent,Penny,Penny,Pending,,33361209-cd7e-481b-89ad-23d5b4923b08
2010,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,334fb77b-a493-4f03-b1d9-cf6dc7d450c3
2019,P,National Park Quarters,Quarter,Quarter,Pending,,33657049-825b-4ef2-82a1-2d3af617a226
1921,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,33677eb6-bc5a-4d7f-b15c-42289273adc1
2012,P,National Park Quarters,Quarter,Quarter,Pending,,336df822-edf4-4fdd-92fb-c6ce35884ea8
1885,,,1885,,Pending,,3396a17b-ded9-4c84-ad61-1b6b0dd00d5f
1947S,,Roosevelt Dimes,Dime,Dime,Pending,,33bdb81a-9b6e-47af-8db9-54b4b97e3736
1997,,Lincoln Cent Series,Penny,Penny,Pending,,33bfe326-5d5f-4957-a9ae-e70bda05835a
1936,,Lincoln Cent,Penny,Penny,Pending,,33d259d5-b3f4-4a69-a9e2-1de5ca422d6f
1935,,Washington Silver Quarter,Quarter,Quarter,Pending,,33e5b5e1-521d-4571-bbb5-94bcc44110ca
2013S,,Presidential Dollars,1,1,Pending,,33f4d06b-744f-48bb-a5a1-f8f9c42df1f1
1941,S,Mercury Dime,Dime,Dime,Pending,,342b7a52-0877-4327-97ef-137872e4d84c
2014,P,America the Beautiful Quarters,Quarter,Quarter,Pending,,343df895-1dfb-490a-b111-0fc9e7105921
2010D,,Presidential Dollars,1,1,Pending,,3469db6f-adce-4de1-a98e-476cf9d13c85
1948,S,Lincoln Cent,Penny,Penny,Pending,,3484e92d-0977-4eae-8adb-b4cea2c4de3e
1998,,Lincoln Head Penny,Penny,Penny,Pending,,34990626-4a49-4c3d-8522-17d49f85c5c6
1844,,Liberty Seated,Quarter,Quarter,Pending,,349ec531-33c3-4417-ab4e-e616db8f9d02
1957,,Washington Silver Quarter,Quarter,Quarter,Pending,,34b6d2b2-482a-48b5-8a7b-5044c0364d3e
1929,D,,Lincoln Cent,Lincoln Cent,Pending,,34c99831-4488-48ca-ab0e-0d93ac3a8b49
2007,W,American Eagle,Dollar,Dollar,Pending,,34cdd79c-e85f-4683-a98d-e3a8534637d1
1948D,,Washington Silver Quarter,Quarter,Quarter,Pending,,34dae2b4-7824-4002-a8f0-12c15dd3302b
1933,,Lincoln Cent,Penny,Penny,Pending,,34ebdc4a-a202-4c39-bcc4-0d4138c01ee6
1928,,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,34f95486-2d87-4ad0-9989-c80a749089c7
1854,,Liberty Seated Silver Dime,Dime,Dime,Pending,,3516dbdf-d703-40f2-a57f-014b7e2a4cb4
1966,,Jefferson Nickel Series,Nickel,Nickel,Pending,,351ec8e1-9436-4f2f-aa94-db01a667dcb2
1984,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,353f7e79-5f5e-4881-8f9b-2d9f8d96a4ea
1954,D,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,35403675-d504-4e83-999d-3a93c7ad8f63
1924,S,Lincoln Head Penny,Penny,Penny,Pending,,354ef63f-4ea8-45c5-a4ae-393e3b8ad864
2017,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,35551020-fdfd-4961-bda3-c2a282a2b86d
1911,,Liberty Head Nickel,Nickel,Nickel,Pending,,359a31ed-e8ca-4c71-a97b-cf994c818946
1849,,Braided Hair Large Cents,Large Cent,Large Cent,Pending,,35a6d98f-9967-4545-b101-5ef2f5901edf
1902,,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,35c248d9-da91-4308-9af9-eb3b2b207303
1958,D,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,35c6320e-710d-4c71-9a01-5891ec81df52
1937,S,Mercury Dime,Dime,Dime,Pending,,35d38f40-7963-4843-969c-5e32fbdc5ca4
1859,,Liberty Seated,Half Dollar,Half Dollar,Pending,,35dcb6b6-eac9-4e50-a298-16918331dff7
1895,S,Barber,Half Dollar,Half Dollar,Pending,,35e23aac-ae36-4ff6-b3b9-90b712967baf
1938,,Liberty Seated Silver Dime,Dime,Dime,Pending,,35e67ace-9ffa-48fe-bb3c-fbc4ef684da4
1936,S,Mercury Dime,Dime,Dime,Pending,,35edbe7e-4d21-411a-9892-5a4e792b6f79
2024,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,35eeb0f5-08ff-4b89-83ea-dc89af973778
1895,O,Barber,Half Dollar,Half Dollar,Pending,,35efb2ec-6022-415e-bbc4-7aa1caefab68
1930,S,Mercury,Mercury Dime,Mercury Dime,Pending,,360267eb-0cf5-4fc0-bc08-a2349beb6a5f
1999S,,State and Territory Quarters,Quarter,Quarter,Pending,,36052e0a-9cc5-49d6-9b9c-874c08e1069e
1982,D,Lincoln Head Penny,Penny,Penny,Pending,,36069d6d-908e-4a3d-9e58-edd1108f24de
2015D,,Presidential Dollars,1,1,Pending,,360bb6d3-17d3-4ce3-9854-e4cb0a177f0b
1893,O,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,3612e7f5-1264-4272-b524-eab6a5f92088
1939,D,Mercury Dime,Dime,Dime,Pending,,3614408d-f5b8-403a-806d-3ac1b1160336
1971,S,Lincoln Cent,Penny,Penny,Pending,,361b9c2f-35ca-4e07-b9ac-02d77208a30b
2005,S,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,361f5d87-7458-4d3b-b24c-4cebccc1d33b
2008S,,Presidential Dollars,1,1,Pending,,3626d16e-8ad5-499a-8d00-a315ae6e2934
1835,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,363420bf-07ea-4c09-a74e-43f7aaecdb90
1906,D,Barber Half Dollar,Half Dollar,Half Dollar,Pending,,3644bc22-7314-4e82-a0ef-148f4d7a4f80
2007P,,State and Territory Quarters,Quarter,Quarter,Pending,,3644d778-7a15-4273-90a6-4a85c7d0d229
1974,S,Eisenhower Dollar,1 Dollar,1 Dollar,Pending,,36500840-9116-423f-ba94-fb64292f98e1
2003S,,State and Territory Quarters,Quarter,Quarter,Pending,,3666fadf-111c-49a8-827a-a85b8c69b58e
2013,P,America the Beautiful Quarters,Quarter,Quarter,Pending,,366719e0-88ff-401d-a548-81a2ba355ab7
1969D,,Roosevelt Dimes,Dime,Dime,Pending,,3670a0f4-e967-4292-bfd4-9b70934ded5c
1972,,Lincoln Cent,Penny,Penny,Pending,,367f1865-6738-48af-98a4-12e6dc72a0bb
1903,S,Barber,Half Dollar,Half Dollar,Pending,,368c92d7-e86a-476b-8935-49d2e4c035c5
,,Morgan Silver Dollar,1,1,Pending,,3691ab04-d60d-417f-9345-62e375f2ed2d
2003S,,Roosevelt Dimes,Dime,Dime,Pending,,369c8dd4-f42e-4fe1-83a3-cccfc9d8990e
2007,D,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,36b9e59b-ed78-416c-ac25-99c77740183b
2007S,,State and Territory Quarters,Quarter,Quarter,Pending,,370932b7-8893-4a8a-b035-f85dd39e932c
1953,P,Jefferson Nickel Series,Nickel,Nickel,Pending,,371f933a-a077-49b4-9c08-9bcf1da93fb9
1965,,Jefferson Nickel Series,Nickel,Nickel,Pending,,37304346-c079-40fa-852b-4e2d672ed6e7
2020,S,National Park Quarters,Quarter,Quarter,Pending,,3740b837-06ee-4aea-8a79-e420b9956d6f
2008D,,Presidential Dollars,1,1,Pending,,37500ef1-6faa-4b48-b4f5-e1b9569b045c
1914,D,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,37757e3c-42d8-411a-aeed-6615db5a9f84
2019,S,National Park Quarters,Quarter,Quarter,Pending,,3780f4f9-383d-45bc-beb9-5df9ca3f9931
1843,,,Nickel,Nickel,Pending,,37b9d1dc-e231-4792-a862-4ac9b9736a44
1998,,THE U.S. NICKEL COLLECTION,Nickel,Nickel,Pending,,37bda890-269b-4fe7-9126-ceaddbfdf395
1883,,Morgan silver dollar,1,1,Pending,,37becb41-f213-4d15-831e-93a53ff29227
,,Morgan Silver Dollar,1,1,Pending,,37c24eaf-656e-491f-ac75-798b930551cf
1891,S,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,37d1bf17-ebc4-4698-ab8e-eef05e556e34
1972,S,Lincoln Cent Series,Penny,Penny,Pending,,37ddd823-9949-4d84-82c2-9b202da62eb7
1919,D,Lincoln Head Cent,Penny,Penny,Pending,,37f5d82f-77ed-4220-a90f-6ad2f6b257b5
,,Liberty Head Gold Half Eagle,$5 ,$5 ,Pending,,38092792-a476-4587-ac00-84637033bbd5
1883,CC,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,3809f46d-223d-4c7f-b9e5-5b4f262ead49
1861,,,Nickel,Nickel,Pending,,3819614f-cad1-4640-9075-c37873fd420d
1926,D,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,381e4c8a-bcb5-4a5c-ad36-048c9c76035e
1882,O,Morgan Silver Dollar,Dollar,Dollar,Pending,,382abccb-3fbd-4f1b-8f3d-99b9234f3e16
2007,W,American Eagle,Dollar,Dollar,Pending,,38302cb3-a4ea-4d63-91cc-fd2a40ffd5a5
2020,S,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,385353c4-467b-45e2-8d5b-b882c7054c6c
1935,P,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,385624ac-869a-4776-80d4-104ac86057d7
1889,O,Morgan Silver Dollar,Dollar,Dollar,Pending,,385cf028-82a4-4dd8-9605-e87d5495800d
2021,S,Native American $1 Coin Program,Native American $1 Coin,Native American $1 Coin,Pending,,3885ba86-1c74-4024-b6d7-4ef257566ffa
2020,D,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3890679f-a664-4359-9e86-1c912e34f7d2
1870,,Shield Nickel,Nickel,Nickel,Pending,,38b1db44-5636-4ed8-acb5-530c30052210
1953,,Lincoln Wheat Cent,Penny,Penny,Pending,,38b6b997-9ef4-4328-8027-5ce548bbea52
1976,S,U.S. Bicentennial,1 Dollar,1 Dollar,Pending,,38d5386b-73d1-4257-8227-1503d8cb0c34
1993,D,Lincoln Cent,Penny,Penny,Pending,,39022734-0253-45f9-a1a0-89610c785137
2017,S,National Park Quarters,Quarter,Quarter,Pending,,3916f36a-10a6-49dc-b5dd-b21d8ce13c4b
1941,S,Lincoln Head Penny,Penny,Penny,Pending,,3921708f-cbeb-45c6-95b3-8f31749ea70c
2019,S,National Park Quarters,Quarter,Quarter,Pending,,39276fe9-d9c5-4c00-a3e0-562be7bdadf2
1969,S,Lincoln Cent,Penny,Penny,Pending,,392acb67-784d-422b-a927-e024b0193d80
2011,D,Lincoln Cent Series,Penny,Penny,Pending,,39326d0a-bf42-44f1-b0de-173aee31258e
1925,D,Lincoln Cent,Penny,Penny,Pending,,394a805d-fc92-4c7e-a5da-e97d23383c7c
2000,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,39520341-c049-4558-a7dd-60ae0d5b78a0
2024,S,,Roosevelt Dime,Roosevelt Dime,Pending,,3992a76a-5289-484e-bacc-96a507a83f20
2006,D,Lincoln Cent Series,Penny,Penny,Pending,,399d0bd2-523c-476e-8408-1a3172ae32e6
1978S,,Washington Silver Quarter,Quarter,Quarter,Pending,,39a76417-03c5-4e2e-8038-fdeeff5ba996
1913,S,Barber Series,Dime,Dime,Pending,,39b03bc7-175f-4ad0-bab6-859ee90aa73d
,,Celebrating America Coin Collection, Celebrating America Coin Collection,,Pending,,39b04e68-45a8-4b80-9c88-d0901d621e20
1943,,Mercury Dime,Dime,Dime,Pending,,39b9c6d7-69c9-4b67-bae1-5f0a75f8f670
1923,,Lincoln Cent,Penny,Penny,Pending,,39c32ea4-3481-4a72-ad4a-37225bff0e40
1934,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,39c4f879-3f4b-44f5-8e71-005b3e41c867
1845,,Liberty Seated Quarter,Quarter,Quarter,Pending,,39ece764-5fe9-459e-b1e2-e4174b8fe542
2015P,,Presidential Dollars,1,1,Pending,,39efb58e-f431-4074-bab9-f9764611a0bf
2009D,,State and Territory Quarters,Quarter,Quarter,Pending,,3a037cef-7c42-4da5-8fdb-1a2a8e5d7e70
1992,D,Lincoln Head Penny,Penny,Penny,Pending,,3a0cb83d-f33c-44db-8151-63b1fa11143a
1958,D,Lincoln Cent,Penny,Penny,Pending,,3a23ee17-ecc9-4413-b686-e4a391c019f9
1859,,Liberty Seated,Half Dollar,Half Dollar,Pending,,3a29edab-5514-4e6c-9702-7c18c8bb1cc5
2009S,,State and Territory Quarters,Quarter,Quarter,Pending,,3a4fe65f-4381-4e9b-bd99-4a5126ef1cda
1999,P,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3a80a991-a654-4ba9-86b2-3f366200304c
1889,S,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,3aabda57-5738-4603-b566-535874db940a
1947,,Roosevelt Dimes,Dime,Dime,Pending,,3ab07ad9-84a4-4590-9ed0-9d1d8c9ee7df
1964,D,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3afe347a-e58c-4104-a80c-6c711c6be604
1997,,Washington Silver Quarter,Quarter,Quarter,Pending,,3afe4bee-aabe-4728-b843-a4727bbda015
2024,S,Proof Set,2024 Proof Set,,Pending,,3b200a2b-4fac-4f20-86db-7d3ae3b37403
1989,D,Lincoln Cent Series,Penny,Penny,Pending,,3b2bfc26-6162-4fd1-88d8-aa6b105606fe
1924,D,Lincoln Head Penny,Penny,Penny,Pending,,3b2f1cda-48b1-4faf-9ef7-8b3c1d747565
1934,D,Mercury Dime,Dime,Dime,Pending,,3b3c955e-ea9c-43f5-94ea-feea93bb8ece
1952D,,Roosevelt Dimes,Dime,Dime,Pending,,3b80a540-c0dc-4c10-b2d2-670bc823391e
1920,,Mercury Dime,Dime,Dime,Pending,,3b86ee81-3c58-4f2e-85e0-1ad46e566aef
1862,,Liberty Seated,Half Dollar,Half Dollar,Pending,,3ba6a5b6-c863-4711-918e-04f4459ba652
1964,,Historic U.S. Silver Half-Dollars,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3ba91d40-d1e1-49c6-a59d-68d2a3df87b7
2008D,,State and Territory Quarters,Quarter,Quarter,Pending,,3bd17145-b823-4c8f-9aeb-a3dc1868f587
1964,,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3bdb6eb5-bb5e-41bd-a4fd-67d39e6fd76b
2016P,,Presidential Dollars,1,1,Pending,,3be9d555-6b0f-49c3-ae67-135f78e9b22e
1911,D,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,3beb3978-b129-49d9-95e9-f085ba5f4122
1996P,,Washington Silver Quarter,Quarter,Quarter,Pending,,3bec512f-2df5-4908-b928-494d060d4677
1936,,Buffalo Nickel Series,Nickel,Nickel,Pending,,3bf1560c-b7db-44e8-8ef2-bbb13a400c66
1856,O,Liberty Seated,Half Dollar,Half Dollar,Pending,,3bf1f012-6ef7-4024-9022-3e3d79f1f62e
1915,,Lincoln Cent,Penny,Penny,Pending,,3bf95909-13ba-41a6-ad68-10e00c5f8f9a
1907,O,Barber Silver Quarters,25 Cents,25 Cents,Pending,,3c0c32a8-b908-4a74-b6ef-cb0ed561b6f2
1999,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3c38c571-25ee-4b37-ad3c-9b113c3cf618
2015,S,National Park Quarters,Quarter,Quarter,Pending,,3c479e5f-cbb2-4af8-876d-ae3e418d043d
1990,P,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3ca085d9-dfde-4881-bb76-c88d0087d959
2013,S,National Park Quarters,Quarter,Quarter,Pending,,3ca707b0-8183-420e-896f-be8353a9fe7f
1952,D,Jefferson Nickel Series,Nickel,Nickel,Pending,,3cc14ac3-f71b-4a17-8a83-d3f0255d30d4
1977,D,Eisenhower Dollar,Dollar,Dollar,Pending,,3ccaa52d-b1b3-40f6-a70e-521036a70716
1916,,Lincoln Head Penny,Penny,Penny,Pending,,3cd9d661-8a5e-4f42-b34f-7fbf6d2d0517
1911,S,Lincoln Cent,Penny,Penny,Pending,,3cda7299-d418-4763-8a51-363fbcd0e834
2014D,,Presidential Dollars,1,1,Pending,,3d19f9d7-acd9-4cfb-9d34-fc9fe45c9b62
1973,S,Eisenhower Dollar,1 Dollar,1 Dollar,Pending,,3d890897-dc2e-406e-a4e2-1a4873eda5d3
1913,PENDING,Barber Series,Dime,Dime,Pending,,3d8ab15e-b121-475e-85ea-6fff7588db75
2011,,Lincoln Head Penny,Penny,Penny,Pending,,3d92b96c-57e3-4726-81d4-69d3fb4cae23
1882,O,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,3da45a87-b5af-42da-bee0-283c80390033
2020,S,National Park Quarters,Quarter,Quarter,Pending,,3da4bccd-5859-4be1-9294-4dbff51706cf
1957,D,,Franklin Silver Half Dollar,Franklin Silver Half Dollar,Pending,,3db02d6f-6c72-4582-8020-df2774e6eeb8
1999S,,Roosevelt Dimes,Dime,Dime,Pending,,3ddf65fe-4e72-4a60-b48e-b5b162b11868
1869,S,Liberty Seated,Half Dollar,Half Dollar,Pending,,3de9519e-5648-4074-ac56-9ec1a22613c4
2017,,Silver eagle signed by Tom Cleveland,1,1,Pending,,3df3e2fd-f041-4893-94f9-51843388bb94
1906,,Barber,Half Dollar,Half Dollar,Pending,,3df3ed5f-89c2-4bdc-a829-ff428a014a27
2001,P,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,3dfc73bb-574c-4154-9c1c-89ba89e888a1
1977S,,Roosevelt Dimes,Dime,Dime,Pending,,3e3c16ea-b2be-4b2f-b739-a3daa9c00ebb
2021,D,American Innovation Dollars,1 Dollar,1 Dollar,Pending,,3e4233e8-1b06-439f-917c-958112ffc5ca
1832,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,3e432e18-af65-4b04-9bbf-e45122905eb7
1995,D,Lincoln Cent Series,Penny,Penny,Pending,,3e45b67d-2381-441c-bff4-6b0992d1611e
1907,S,Barber Silver Quarters,25 Cents,25 Cents,Pending,,3e59bb11-a315-4ab2-8354-b2219e898215
2021,D,Native American Dollar,1 Dollar,1 Dollar,Pending,,3e5c0bb5-6625-4923-b0ad-a8667216f8ca
1996S,,Washington Silver Quarter,Quarter,Quarter,Pending,,3e713a72-293c-4201-8b65-2598f92a6f73
2023,,Ultimate Modern Morgan and Peace Silver Dollar Collection,Peace Dollar,Peace Dollar,Pending,,3e745714-c2f3-4be8-bceb-653c1a316a68
1912,S,Lincoln Wheat Cent Series,Penny,Penny,Pending,,3eb56085-eadf-49bd-bd01-7e68b967fcf8
1915,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,3eb9315e-abdd-421f-816f-d09b559d0ff0
1914,D,Lincoln Cent,Penny,Penny,Pending,,3f1342f0-69af-4efc-aa17-d056fe7798ca
1926,S,Peace Dollar,Dollar,Dollar,Pending,,3f27cb7d-53e0-43f8-8542-d699264d0a99
1894,S,Morgan Silver Dollar,Dollar,Dollar,Pending,,3f4e3972-e228-4dc5-bc79-667f3156ffab
1998D,,Washington Silver Quarter,Quarter,Quarter,Pending,,3f749ecc-964c-4a34-977a-6ccca5872e9a
1943,S,Jefferson Nickel Series,Nickel,Nickel,Pending,,3f841744-7bd5-418e-9b8a-85196763c5d1
2011,P,National Park Quarters,Quarter,Quarter,Pending,,3f8713d3-2b72-4615-8121-c9a56ce6338c
2018,S,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,3f99c59a-5426-4282-9a0c-219d1d697ed8
1887,,Morgan Silver Dollar,Dollar,Dollar,Pending,,3fbe4c82-6b76-494c-8a82-56f2f7b3d1b6
1829,,Classic Head,Half Cent,Half Cent,Pending,,3fd1fca6-5d49-4023-991d-ec2289e3486f
1916,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,3fd94d56-6a6c-4ce7-8bb3-6526a3db5d31
1938,P,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,3fec61a4-d657-437f-b6ba-834d23d009f8
2020,S,,Roosevelt Dime,Roosevelt Dime,Pending,,4008a904-d23c-4b6b-980c-9ea0875ffda6
1937,,Lincoln Wheat Cent,Penny,Penny,Pending,,400d1399-109f-4523-a081-0c0a4e1e17b5
1856,O,Liberty Seated,Quarter,Quarter,Pending,,4015e7f9-7aa7-445f-a328-3eebcccda5e8
2023,P,U.S. Innovation Dollar,Dollar,Dollar,Pending,,401772a5-df24-467e-b4eb-eb8365400237
1996D,,Roosevelt Dimes,Dime,Dime,Pending,,403dde24-130b-4c9c-9b34-9985a313a72d
1935,S,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,403e1342-5686-4491-92ee-29a222362f1b
2020,P,National Park Quarters,Quarter,Quarter,Pending,,4059a970-dea6-47a3-bfd2-3068d9a30b26
1857,O,Liberty Seated,Quarter,Quarter,Pending,,4068878e-d8e3-48bd-bc47-fa23fc536660
1934,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,407c3e2a-54d1-47b3-adcb-eb92554c3f39
2022,P AND D,US Women Quarters,Quarter,Quarter,Pending,,40ac4547-9b04-4b66-81d9-f5d9b577c662
2006S,,Roosevelt Dimes,Dime,Dime,Pending,,40bf8e07-ee1b-4498-a7e8-13b4d3893d0f
2018,S,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,40d4f6d8-e58b-4d8b-a403-a3b340bd418c
2020,S,National Park Quarters,Quarter,Quarter,Pending,,40ed22a3-c14d-4c40-b656-7706bf85eb25
1907,S,Barber Dime,Dime,Dime,Pending,,411f77bc-9d0c-48da-a996-3f8b68cb0a6b
,,America's First Small-Size,Lincoln Cent,Lincoln Cent,Pending,,41311159-536d-4c3b-acd8-62597572cc8f
1898,S,Barber Silver Quarters,25 Cents,25 Cents,Pending,,4137c801-5c29-417e-b506-a507ac1d1216
2017,P,National Park Quarters,Quarter,Quarter,Pending,,413b115b-4060-4ff6-bc39-87fb642be067
2014D,,Presidential Dollars,1,1,Pending,,4155d72b-1922-40f2-81db-3eab34723128
1930,S,Lincoln Cent,Penny,Penny,Pending,,4161c299-6b4f-4c27-a225-e39772cbafa9
1935,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,416c26b1-1118-4b5c-9308-f72d53c39e39
1895,S,Barber Silver Quarters,25 Cents,25 Cents,Pending,,41764e2e-1c06-4970-91bb-ba8a84cbf2da
1927,D,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,417c0900-b437-452c-8ba3-e78fe9386b25
1972,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,4198d208-a2dd-4ac7-a69e-025dc3857289
1964,,Lincoln Head Penny,Penny,Penny,Pending,,41a14d48-0655-48c0-89c5-7079968b75ea
1987,,American Eagle,Dollar,Dollar,Pending,,41b85a0f-58e9-40bc-9bb2-1b66431bdbbd
1973,,Eisenhower Dollar,Dollar,Dollar,Pending,,41c3b012-0737-4180-a883-632ceb413d31
1978,,Lincoln Head Penny,Penny,Penny,Pending,,41f35ea4-dcac-4ee6-b646-626891fd42c7
2007D,,State and Territory Quarters,Quarter,Quarter,Pending,,42175ccc-6af2-45ca-85c1-9992344aabd4
1971,S,Eisenhower Dollar,1 Dollar,1 Dollar,Pending,,4228ebd9-8618-45ae-ade0-cd249c7eeb45
1930,D,Lincoln Cent,Penny,Penny,Pending,,4239fd06-d4bb-4dfb-a03d-c47c503f3811
1985P,,Roosevelt Dimes,Dime,Dime,Pending,,4259e61e-9598-4dce-bd87-ccaa4750740e
1859,S,Liberty Seated,Quarter,Quarter,Pending,,42661a8a-778e-4088-a48d-5742281f3744
2023D,,Roosevelt Dimes,Dime,Dime,Pending,,426b8f52-67c6-4d63-b147-57f8700f46c5
1968,S,Lincoln Cent,Penny,Penny,Pending,,427cde1a-6c58-4781-a751-e66de94e4eff
2021,P,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,4288c747-c456-48bc-a93c-3a5502e57fad
2005S,,State and Territory Quarters,Quarter,Quarter,Pending,,428dd278-f2ec-4630-9399-4f18a63b0bc7
1952,,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,428fbeec-d95c-42f9-9ab3-199ba6edcbe1
1894,O,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,4293fc6d-33d2-4049-8347-ddbb450431e2
2019,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,42a592a2-34e3-470f-85d1-f2af37877db5
1850,O,Liberty Seated,Half Dollar,Half Dollar,Pending,,42adeea3-3f5d-4b13-a821-fa2dfa28081d
1936,D,Mercury Dime,Dime,Dime,Pending,,42b6ca74-6780-404e-a0dc-5dc03afff87c
1973,D,Eisenhower Dollar,Dollar,Dollar,Pending,,42c00cb2-5e26-4157-bbe8-e0c1bd019836
1846,,Liberty Seated,Quarter,Quarter,Pending,,42c9ad26-e840-491a-a27d-c9b1ecd7d4d5
2010D,,Roosevelt Dimes,Dime,Dime,Pending,,42f51adb-46c6-46f2-a37b-53b986ddb6d3
1938,,Time Capsule Year Set,5-Coin Set,5-Coin Set,Pending,,42fa434c-53a9-4fd1-ab89-93b4e8ddb8eb
1903,O,Barber Series,Dime,Dime,Pending,,4308c6be-27b1-4c6d-9f1d-851518b05617
2011,S,Lincoln Cent,Penny,Penny,Pending,,43139662-205a-4f73-b151-5a4e573e92e7
1964,D,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,43369c95-eef6-424a-a545-718ee1275677
2010P,,Presidential Dollars,1,1,Pending,,433caeae-9a8f-4dad-a412-4d66ad000627
2007D,,Presidential Dollars,1,1,Pending,,43476ff1-3cd7-447b-9e75-61cc449a636c
1945,S,Jefferson Nickel Series,Nickel,Nickel,Pending,,435ee6ce-f932-4838-ae84-85a594b41091
1988,S,Lincoln Cent,Penny,Penny,Pending,,435f97aa-4c88-4189-9ea7-3aaf89e38c43
2008S,,State and Territory Quarters,Quarter,Quarter,Pending,,4362793e-80f2-4450-ba99-dfbdd193ad42
1902,,Barber Silver Quarters,25 Cents,25 Cents,Pending,,436961bf-6fc0-48fa-9ae5-699428cec050
2022,S,US Women's Quarters,Quarter,Quarter,Pending,,436b9142-8544-4922-b0e3-083b25681753
1922,,Peace Dollar,Dollar,Dollar,Pending,,43a7eab9-cc3a-4280-9609-f01225add81b
2013P,,Presidential Dollars,1,1,Pending,,43c0e83b-65fe-4ee8-b385-f7a875743359
2017,S,National Park Quarters,Quarter,Quarter,Pending,,44112a00-1d83-4fe3-a707-07f65249773f
2024,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,44327617-0c6a-4144-83dd-aae5e5bea99c
1923,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,4434045b-cc2f-432a-8572-7d248bda4d91
