Year,Denomination,Program/Series,Mint Mark,Count_Missing,Count_Has_Image
1900,25 Cents,Barber Silver Quarters,,0,1
1943,Penny,Lincoln Wheat Cent Series,,0,1
1954,Half Dollar,Franklin Half Dollar,,0,4
1914,Nickel,Buffalo Nickel,S,0,1
1998,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1909,$5,Indian Head Gold Half Eagle,D,0,1
1922,Dollar,Peace Dollar,S,0,1
2001,Quarter,State and Territory Quarters,D,0,5
1880,$1,Morgan Silver Dollar,CC,0,2
2012,1 Dollar,Native American Dollar,D,0,1
2019,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,2
1957,Dime,Roosevelt Dime Series,D,0,1
1860,Half Dollar,Liberty Seated,O,0,2
1939,Penny,Lincoln Cent Series,,0,1
1842,Nickel,Stars,,0,1
1976,Dollar,U.S. Bicentennial,S,0,4
1823,Dime,Capped Bust,,0,1
1981,Penny,Lincoln Memorial Cent,,0,1
1896,1 Dollar,Morgan Silver Dollars,O,0,1
2002,Quarter,State and Territory Quarters,D,0,5
1891,$1,Morgan Silver Dollar,,0,2
1949,Dime,Mercury Dime,D,0,1
1943,Cent,Lincoln Cent,D,0,1
1861,Half Dollar,Walking Liberty Half Dollar,P,0,1
1894,5 Cents,Liberty Head Nickel,,0,1
1990,Proof Set,6-Coin Prestige Proof Set,,0,1
2000,Quarter,State and Territory Quarters,D,0,4
1865,Half Dollar,Liberty Seated,S,0,1
1923,Half Dollar,Liberty Walking Half Dollar,S,0,1
1894,Barber Dime,Barber,,0,1
1935,Half Dollar,Walking Liberty Half Dollar,,0,2
1877,Half Dollar,Liberty Seated,,0,1
1954,Dime,Roosevelt Dime,,0,2
1916,Dime,Barber Series,Pending,0,1
Unknown,$10,American Eagle Gold Coin,,0,1
1991,Quarter,Washington Silver Quarter,S,0,1
Pending,Dime,Barber Series,Pending,0,1
1898,Dollar,Morgan Silver Dollar,S,0,1
1836,Capped Bust Silver Dime,Capped Bust Dime,,0,1
1963,Quarter,Washington Silver Quarter,D,0,1
1918,1 Dime,Mercury Silver Dime,S,0,1
1920,1 Dime,Mercury Silver Dime,D,0,1
1929,Penny,Lincoln Wheat Cent Series,,0,2
1938,Dime,Mercury Dime,,0,2
1936,Quarter,Washington Silver Quarter,,0,2
2007,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1935,Quarter,Washington Quarter,,0,2
1981,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1944,Nickel,Jefferson Nickel Series,P,0,2
1921,1 Dollar,Morgan Silver Dollars,P,0,1
1883,$1,Morgan Silver Dollar,O,0,1
1903,Penny,Indian Head Cent,,0,1
2016,$1,Presidential Dollars,S,0,3
1928,Penny,Lincoln Head Penny,S,0,1
2011,$1,Presidential Dollars,D,0,4
1955,Quarter,Washington Quarter,,0,1
2015,Penny,Lincoln Shield Cent,,0,1
Unknown,$5,American Eagle Gold Coin,,0,1
1918,Dime,Mercury Dime,S,0,2
2010,$1,Presidential Dollars,S,0,3
N/A,Nickel,Liberty Head Nickel,,0,2
1858,Flying Eagle cent,Flying Eagle Cent,,0,1
2013,Quarter,America the Beautiful Quarters,P,0,5
1953,Quarter,Washington Silver Quarter,,0,2
2000,Quarter,State and Territory Quarters,P,0,5
1975,Penny,Lincoln Head Penny,D,0,1
2023,Peace Dollar,The Ultimate Modern Morgan and Peace Silver Dollar Collection,,0,3
1912,Barber Silver Dimes,Barber Dimes,P,0,2
1999,Quarter,State and Territory Quarters,S,0,6
1934,Quarter,Washington Silver Quarter,,0,4
1868,Half Dollar,Liberty Seated,S,0,1
2012,Dime,Roosevelt Dimes,S,0,2
1850,Quarter,Liberty Seated,,0,1
1913,Penny,Lincoln Wheat Cent,,0,1
2003,Quarter,State and Territory Quarters,D,0,5
1949,Quarter,Washington Silver Quarter,D,0,1
1961,Half Dollar,Franklin Half Dollar,D,0,1
1974,Kennedy Half Dollar,Kennedy Half Dollar,D,0,2
1986,Quarter,Washington Silver Quarter,D,0,1
2021,Native American Dollar,Native American Dollar Series,D,0,1
2009,$1,Presidential Dollars,S,0,4
1956,Dime,Roosevelt Dimes,,0,1
1960,Penny,Lincoln Head Penny,D,0,2
1893,Half Dollar,Barber,,0,1
1923,Penny,Lincoln Cent,,0,2
1956,Quarter,Washington Silver Quarter,D,0,2
1965,Kennedy Half Dollar,Kennedy Half Dollar,,0,1
1979,Penny,Lincoln Cent Series,S,0,1
1972,Quarter,Washington Silver Quarter,,0,1
1988,Quarter,Washington Silver Quarter,D,0,1
1944,Quarter,Washington Silver Quarter,,0,2
1992,Quarter,Washington Silver Quarter,S,0,1
1909,Dime,Barber Dimes,P,0,1
1937,Half Dollar,Walking Liberty Half Dollar,P,0,1
1977,Dollar,Eisenhower Dollar,D,0,2
1870,Dollar,Seated Liberty,CC,0,1
1916,Half Dollar,Walking Liberty Half Dollar,S,0,1
2023,Quarter,American Women Quarters Program,D,0,2
1912,Penny,Lincoln Cent,,0,2
1856,Large Cent,Braided Hair Large Cent,,0,1
2024,Lincoln Cent,Unknown,D,0,1
1994,Quarter,Washington Quarter,S,0,1
1893,$5,Liberty Head Gold Half Eagle,,0,1
1976,Quarter,Washington Silver Quarter,,0,1
1980,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1947,Half Dollar,Walking Liberty Half Dollar,,0,1
2013,Dollar,American Eagle Two-Coin Set,W,0,1
2023,Dollar,Peace Dollar,,0,1
1917,Penny,Lincoln Cent,D,0,2
1958,Dime,Roosevelt Dime,,0,2
1944,Half Dollar,Walking Liberty Half Dollar,S,0,1
2014,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
multiple,Flying Eagle cent,Flying Eagle Cent,,0,1
1947,Dime,Roosevelt Dime,D,0,1
1914,Half Dollar,Barber Half Dollar,,0,1
1957,Quarter,Washington Quarter,,0,2
1996,Quarter,Washington Silver Quarter,S,0,2
1926,Penny,Lincoln Wheat Cent Series,,0,2
1957,Half Dollar,Franklin Half Dollar,,0,3
1953,Half Dollar,Franklin Half Dollar,D,0,1
2015,Penny,Lincoln Head Penny,,0,1
1949,Penny,Lincoln Wheat Cent Series,,0,1
1843,Quarter,Liberty Seated,,0,1
2006,$5,American Eagle Gold Coin,,0,1
1970,Penny,Lincoln Cent Series,,0,1
1980,Susan B. Anthony Dollar,Susan B. Anthony Dollar,P,0,1
1946,Dime,Roosevelt Dimes,D,0,1
1984,Dime,Roosevelt Dimes,D,0,1
1906,25 Cents,Barber Silver Quarters,D,0,1
1877,Quarter,Liberty Seated,CC,0,1
1914,Penny,Lincoln Wheat Cent Series,S,0,1
2005,Quarter,State and Territory Quarters,P,0,5
1881,1 Dollar,Morgan Silver Dollars,S,0,1
2016,1 Dollar,Native American Dollar,P,0,1
2019,Quarter,National Park Quarters,P,0,6
2020,Dime,Roosevelt Dimes,D,0,1
2024,Dollar,American Innovation Dollar,,0,1
2023,Native American Dollar,Native American Dollar,D,0,1
2003,Dollar,American Eagle,W,0,1
1955,Dime,Roosevelt Dimes,,0,1
2000,Penny,Lincoln Cent,S,0,1
1910,Penny,Lincoln Wheat Cent Series,,0,2
1972,Penny,Lincoln Cent,S,0,2
1920,Quarter,Standing Liberty Silver Quarter,S,0,1
2016,Dollar,American Eagle,,0,1
2012,Quarter,National Park Quarters,P,0,3
1971,Dime,Roosevelt Dimes,,0,1
1971,1 Dollar,Eisenhower Dollar,D,0,1
1976,Dollar,Eisenhower Dollar,D,0,4
1957,Nickel,Jefferson Nickel,,0,1
1943,Penny,Lincoln Cent (Steel),D,0,1
2013,Penny,Lincoln Cent Series,D,0,1
1964,Quarter,Washington Silver Quarter,,0,3
2004,Dime,Roosevelt Dimes,D,0,1
1960,Penny,Lincoln Memorial Cent,,0,1
2025,Quarter,American Women Quarters,D,0,2
1970,Penny,Lincoln Cent,S,0,1
1920,Penny,Lincoln Head Penny,,0,2
2016,$1,Presidential Dollars,D,0,3
1952,Half Dollar,Franklin Half Dollar,S,0,1
1974,Penny,Lincoln Memorial Cent,D,0,1
1858,Half Dollar,Liberty Seated,O,0,3
1951,Half Dollar,Franklin Half Dollar,,0,5
2008,$1,Presidential Dollars,D,0,7
1937,Quarter,Washington Silver Quarter,,0,1
Multiple,$1,Morgan Silver Dollar,,0,1
1819,Capped Bust Silver Half Dollar,The Half Dollar Club Selection,,0,1
1958,Dime,Roosevelt Dimes,,0,1
2002,Penny,Lincoln Cent Series,D,0,1
1974,Penny,Lincoln Cent,D,0,1
1871,Nickel,Unknown,,0,1
2018,American Silver Eagle Dollar,American Eagle Silver Dollar,,0,1
2000,Penny,Lincoln Cent Series,D,0,1
1918,Roosevelt Dime,Mercury Dime,D,0,1
1935,Penny,Lincoln Wheat Cent Series,,0,2
1964,Penny,Lincoln Cent Series,,0,1
1901,Dime,Barber Series,Pending,0,1
1960,Quarter,Washington Quarter,,0,2
1974,Penny,Lincoln Cent,,0,1
1938,Dime,Mercury Dime,D,0,1
2007,Dollar,American Eagle,W,0,2
1912,Dime,Barber Dimes,S,0,1
2018,Quarter,America the Beautiful Quarters,P,0,5
1913,Barber Silver Dimes,Barber Dimes,P,0,1
1825,Capped Bust Silver Quarter,Unknown,,0,1
1911,Half Dollar,Barber,,0,1
2012,$1,Presidential Dollars,P,0,5
1924,Penny,Lincoln Cent,,0,2
1849,Nickel,Stars,O,0,1
1942,Penny,Lincoln Wheat Cent,,0,1
2018,$1,American Eagle Silver Dollar,,0,1
1950,Cent,Lincoln Wheat Cent,,0,1
1942,Half Dollar,Liberty Walking Half Dollar,P,0,1
1952,Penny,Lincoln Wheat Cent Series,,0,1
2009,$1,Presidential Dollars,D,0,3
1954,Penny,Lincoln Cent,,0,3
2024,Washington Quarter,Celebrating America Coin Collection,,0,1
1999,Dime,Roosevelt Dimes,P,0,1
2007,Dollar,American Eagle,,0,1
1905,Dime,Barber Series,Pending,0,2
1935,Quarter,Washington Silver Quarter,D,0,1
1909,Penny,Lincoln Head Wheat Cents,P,0,1
1949,Cent,Lincoln Wheat Cent,,0,2
1945,Quarter,Washington Silver Quarter,D,0,2
2011,$1,Presidential Dollars,P,0,4
2006,Dollar,American Eagle,W,0,2
2022,Native American Dollar,Native American Dollar,P,0,1
1870,Unknown,Unknown,,0,2
1912,25 Cents,Barber Silver Quarters,,0,1
1988,Quarter,Washington Silver Quarter,S,0,1
1907,Half Dollar,Barber,,0,1
2009,Penny,Lincoln Cent Series,D,0,4
1996,Quarter,Washington Silver Quarter,D,0,1
1853,Nickel,Arrows,,0,1
1979,Quarter,Washington Silver Quarter,,0,1
1985,Penny,Lincoln Cent Series,,0,1
1989,Quarter,Washington Silver Quarter,S,0,1
1953,Dime,Roosevelt Dime,,0,2
1901,Penny,Indian Head Cent,,0,1
1927,Penny,Lincoln Head Penny,S,0,1
1891,1 Dollar,Morgan Silver Dollars,CC,0,1
1904,1 Dollar,Morgan Silver Dollars,O,0,1
1937,Dime,Mercury Dime,,0,3
1890,Dime,Liberty Seated Silver Dime,,0,1
1905,Half Dollar,Barber,,0,1
1951,Quarter,Washington Silver Quarter,D,0,2
1859,Half Dollar,Liberty Seated,O,0,1
1983,Dime,Roosevelt Dimes,S,0,1
1981,Dollar,Eisenhower Dollar,S,0,1
1896,Nickel,Liberty Head Nickel,,0,1
1887,1 Dollar,Morgan Silver Dollars,,0,1
1894,Half Dollar,Barber,S,0,1
1840,Quarter,Liberty Seated,,0,1
2019,Native American $1 Coin,Native American $1 Coin Program,D,0,1
1937,Half Dollar,Walking Liberty Half Dollar,,0,1
1978,Dollar,Eisenhower Dollar,S,0,1
1925,Nickel,Buffalo Nickel,D,0,1
2014,$1,Presidential Dollars,P,0,4
1869,Unknown,Unknown,,0,1
2017,Quarter,National Park Quarters,P,0,8
1982,Quarter,Washington Silver Quarter,D,0,1
1951,Quarter,Washington Quarter,,0,1
1923,Dollar,Peace Dollar,,0,2
2021,1 Dollar,Native American Dollar,D,0,2
1858,Quarter,Liberty Seated,O,0,1
2004,Penny,Lincoln Cent Series,,0,1
1946,Penny,Lincoln Cent,,0,1
2021,American Silver Eagle Dollar,American Silver Eagle Program,,0,1
1914,25 Cents,Barber Silver Quarters,,0,1
1925,Penny,Lincoln Cent,S,0,1
1909,Penny,Lincoln Cent Series,,0,1
1925,Penny,Lincoln Wheat Cent Series,,0,2
Unknown,$1,Morgan Silver Dollar Set,,0,1
1907,Barber Silver Dimes,Barber Dimes,P,0,1
1842,Large Cent,Braided Hair Large Cents,,0,1
1928,Jefferson Nickel,Last Seven Philadelphia Buffalo Nickels Set (1928-1937),,0,1
1890,$1,Morgan Silver Dollar,CC,0,2
1958,Penny,Lincoln Wheat Cent Series,,0,2
2022,Quarter,US Women's Quarters,S,0,2
1934,Quarter,Washington Silver Quarter,O,0,1
1878,$1,Morgan Silver Dollar,CC,0,2
1842,Dollar,Liberty Seated,,0,1
1937,Penny,Lincoln Cent Series,,0,1
1871,Half Dollar,Liberty Walking Half Dollar,P,0,1
1990,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,1
2002,Quarter,State and Territory Quarters,P,0,5
1999,Quarter,State and Territory Quarters,P,0,5
2016,Dime,Roosevelt Dimes,D,0,1
1960,Penny,Lincoln Cent,,0,2
1998,Dime,Roosevelt Dimes,S,0,2
1972,1 Dollar,Eisenhower Dollar,D,0,1
1943,Penny,Lincoln Cent,D,0,2
2006,1 Dollar,Sacagawea Dollar,S,0,1
1996,Penny,Lincoln Cent,D,0,1
1901,Cent,Indian Head Cent,,0,1
2025,American Silver Eagle,American Eagle Silver Dollar,W,0,1
1885,Unknown,Unknown,,0,1
1942,Half Dollar,Walking Liberty Half Dollar,,0,2
1947,Dime,Roosevelt Dimes,S,0,2
1997,Penny,Lincoln Cent Series,,0,1
1936,Penny,Lincoln Cent,,0,2
2000,1 Dollar,Sacagawea Dollar,D,0,1
1943,Penny,Lincoln Head Penny,S,0,1
2013,$1,Presidential $1 Coin Program,S,0,1
1941,Dime,Mercury Dime,S,0,2
2014,Quarter,America the Beautiful Quarters,P,0,5
2010,$1,Presidential $1 Coin Program,D,0,1
1948,Penny,Lincoln Cent,S,0,1
1998,Penny,Lincoln Head Penny,,0,1
1844,Quarter,Liberty Seated,,0,1
1957,Quarter,Washington Silver Quarter,,0,1
1929,Lincoln Cent,Unknown,D,0,1
1948,Quarter,Washington Silver Quarter,D,0,1
1933,Penny,Lincoln Cent,,0,1
1928,Quarter,Standing Liberty Silver Quarter,,0,1
1854,Dime,Liberty Seated Silver Dime,,0,1
1966,Nickel,Jefferson Nickel Series,,0,1
1984,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1954,Half Dollar,Franklin Half Dollar,D,0,2
1924,Penny,Lincoln Head Penny,S,0,1
1911,Nickel,Liberty Head Nickel,,0,1
1849,Large Cent,Braided Hair Large Cents,,0,1
1902,1 Dollar,Morgan Silver Dollars,,0,1
1958,Half Dollar,Franklin Half Dollar,D,0,3
1937,Dime,Mercury Dime,S,0,1
1949,Dime,Roosevelt Dime,,0,2
1995,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1859,Half Dollar,Liberty Seated,,0,1
1895,Half Dollar,Barber,S,0,1
1938,Dime,Liberty Seated Silver Dime,,0,1
1936,Dime,Mercury Dime,S,0,1
2024,Kennedy Half Dollar,Kennedy Half Dollar,S,0,2
1895,Half Dollar,Barber,O,0,1
1930,Mercury Dime,Mercury Dime,S,0,1
1982,Penny,Lincoln Head Penny,D,0,4
1938,Cent,Lincoln Wheat Cent,,0,1
1893,1 Dollar,Morgan Silver Dollars,O,0,1
1939,Dime,Mercury Dime,D,0,1
1971,Penny,Lincoln Cent,S,0,2
2005,1 Dollar,Sacagawea Dollar,S,0,1
2008,$1,Presidential Dollars,S,0,4
1835,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
1906,Half Dollar,Barber Half Dollar,D,0,1
2007,Quarter,State and Territory Quarters,P,0,5
1974,1 Dollar,Eisenhower Dollar,S,0,2
1969,Dime,Roosevelt Dimes,D,0,1
1972,Penny,Lincoln Cent,,0,1
1903,Half Dollar,Barber,S,0,1
2003,Dime,Roosevelt Dimes,S,0,2
2013,Kennedy Half Dollar,Kennedy Half Dollar,S,0,2
2007,1 Dollar,Sacagawea Dollar,D,0,1
2025,Roosevelt Dime,Unknown,S,0,1
1962,Dime,Roosevelt Dime,,0,1
2007,Quarter,State and Territory Quarters,S,0,8
1927,Quarter,Standing Liberty Quarter,,0,1
1964,Dime,Roosevelt Dimes,,0,2
1953,Nickel,Jefferson Nickel Series,P,0,1
1965,Nickel,Jefferson Nickel Series,,0,1
2012,Quarter,America the Beautiful Quarters,S,0,2
1914,Barber Silver Dimes,Barber Dimes,D,0,1
2019,Quarter,National Park Quarters,S,0,5
1843,Nickel,Stars,,0,1
1998,Nickel,The U.S. Nickel Collection,,0,1
1883,$1,Morgan Silver Dollar,,0,1
1891,1 Dollar,Morgan Silver Dollar,S,0,1
1919,Penny,Lincoln Cent,D,0,1
1866,$5,Liberty Head Gold Half Eagle,,0,3
1883,1 Dollar,Morgan Silver Dollar,CC,0,1
1861,Nickel,Unknown,,0,1
1926,Quarter,Standing Liberty Quarter,D,0,1
1882,Dollar,Morgan Silver Dollar,O,0,2
1964,Quarter,Washington Quarter,,0,1
2020,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,1
1935,Half Dollar,Liberty Walking Half Dollar,P,0,1
1889,Dollar,Morgan Silver Dollar,O,0,1
2021,Native American $1 Coin,Native American $1 Coin Program,S,0,1
2020,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,2
1870,Nickel,Shield Nickel,,0,1
1976,1 Dollar,U.S. Bicentennial,S,0,4
1993,Penny,Lincoln Cent,D,0,1
1952,Half Dollar,Franklin Half Dollar,,0,5
1969,Penny,Lincoln Cent,S,0,1
1916,Half Dollar,Walking Liberty Half Dollar,D,0,1
2011,Penny,Lincoln Cent,D,0,2
1925,Penny,Lincoln Cent,D,0,1
2000,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
2024,Roosevelt Dime,Unknown,S,0,1
2006,Penny,Lincoln Cent Series,D,0,1
1978,Quarter,Washington Silver Quarter,S,0,1
1913,Dime,Barber Series,S,0,1
2021,Unknown,Celebrating America Coin Collection,,0,1
1943,Dime,Mercury Dime,,0,1
1934,Penny,Lincoln Cent,,0,3
1845,Quarter,Liberty Seated Quarter,,0,1
1992,Penny,Lincoln Cent,D,0,1
1958,Penny,Lincoln Cent,D,0,1
1939,Dime,Mercury Dime,,0,3
1999,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
1889,1 Dollar,Morgan Silver Dollars,S,0,1
1947,Dime,Roosevelt Dimes,,0,1
1964,Kennedy Half Dollar,Kennedy Half Dollar,D,0,2
1997,Quarter,Washington Quarter,,0,1
2024,Unknown,Proof Set,S,0,1
1989,Penny,Lincoln Cent Series,D,0,1
1924,Penny,Lincoln Head Penny,D,0,3
1934,Dime,Mercury Dime,D,0,1
1992,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1952,Dime,Roosevelt Dimes,D,0,2
1920,Dime,Mercury Dime,,0,1
1862,Half Dollar,Liberty Seated,,0,1
1964,Kennedy Half Dollar,Historic U.S. Silver Half-Dollars,,0,2
2008,Quarter,State and Territory Quarters,D,0,7
1964,Kennedy Half Dollar,Kennedy Half Dollar,,0,1
1911,Barber Silver Dimes,Barber Dimes,D,0,1
1996,Quarter,Washington Silver Quarter,P,0,1
1936,Nickel,Buffalo Nickel Series,,0,1
1856,Half Dollar,Liberty Seated,O,0,1
1915,Penny,Lincoln Cent,,0,2
1907,25 Cents,Barber Silver Quarters,O,0,1
1999,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1977,Penny,Lincoln Cent,D,0,1
1990,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
2013,Quarter,National Park Quarters,S,0,5
1952,Nickel,Jefferson Nickel Series,D,0,1
1879,$1,Schoolgirl Dollar,,0,1
1916,Penny,Lincoln Head Penny,,0,1
1911,Penny,Lincoln Cent,S,0,1
2014,$1,Presidential Dollars,D,0,4
1973,1 Dollar,Eisenhower Dollar,S,0,2
1913,Dime,Barber Series,Pending,0,1
2011,Penny,Lincoln Head Penny,,0,1
1882,1 Dollar,Morgan Silver Dollars,O,0,2
1957,Franklin Silver Half Dollar,Unknown,D,0,1
1999,Dime,Roosevelt Dimes,S,0,2
1869,Half Dollar,Liberty Seated,S,0,1
2017,$1,Silver Eagle signed by Tom Cleveland,,0,1
1906,Half Dollar,Barber,,0,1
2001,1 Dollar,Sacagawea Dollar,P,0,2
2009,Penny,Lincoln Cent Series,S,0,4
1977,Dime,Roosevelt Dimes,S,0,1
2021,1 Dollar,American Innovation Dollars,D,0,2
1832,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
1907,25 Cents,Barber Silver Quarters,S,0,1
2023,Peace Dollar,Ultimate Modern Morgan and Peace Silver Dollar Collection,,0,1
1912,Penny,Lincoln Wheat Cent Series,S,0,1
1915,Penny,Lincoln Wheat Cent Series,,0,1
1914,Penny,Lincoln Cent,D,0,1
1926,Dollar,Peace Dollar,S,0,1
1894,Dollar,Morgan Silver Dollar,S,0,1
1998,Quarter,Washington Silver Quarter,D,0,1
2018,Kennedy Half Dollar,Unknown,S,0,2
1887,Dollar,Morgan Silver Dollar,,0,2
1829,Half Cent,Classic Head,,0,1
1907,Cent,Indian Head Cent,,0,1
1938,Half Dollar,Liberty Walking Half Dollar,P,0,1
1945,Penny,Lincoln Cent,,0,2
1938,Nickel,Jefferson Nickel,,0,1
2020,Roosevelt Dime,Unknown,S,0,1
1937,Penny,Lincoln Wheat Cent,,0,1
1856,Quarter,Liberty Seated,O,0,1
2023,Dollar,U.S. Innovation Dollar,P,0,1
1996,Dime,Roosevelt Dime,D,0,1
1935,Half Dollar,Liberty Walking Half Dollar,S,0,1
2020,Quarter,National Park Quarters,P,0,4
1857,Quarter,Liberty Seated,O,0,1
1934,Penny,Lincoln Wheat Cent Series,,0,1
2022,Quarter,American Women Quarters Program,P and D,0,1
2006,Dime,Roosevelt Dimes,S,0,2
1907,Dime,Barber Dime,S,0,1
Unknown,Lincoln Cent,America's First Small-Size,,0,1
1898,25 Cents,Barber Silver Quarters,S,0,1
1930,Penny,Lincoln Cent,S,0,1
1895,25 Cents,Barber Silver Quarters,S,0,1
1927,Quarter,Standing Liberty Silver Quarter,D,0,1
1958,Nickel,Jefferson Nickel,,0,2
1972,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1964,Penny,Lincoln Head Penny,,0,1
1987,Dollar,American Eagle,,0,1
1973,Dollar,Eisenhower Dollar,,0,2
1919,Penny,Lincoln Cent,S,0,1
1978,Penny,Lincoln Head Penny,,0,1
1971,1 Dollar,Eisenhower Dollar,S,0,2
1930,Penny,Lincoln Cent,D,0,1
1985,Dime,Roosevelt Dimes,P,0,1
1859,Quarter,Liberty Seated,S,0,1
2023,Dime,Roosevelt Dimes,D,0,1
1942,Quarter,Washington Quarter,,0,2
1968,Penny,Lincoln Cent,S,0,1
2021,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
1894,1 Dollar,Morgan Silver Dollar,O,0,1
1850,Half Dollar,Liberty Seated,O,0,1
1936,Dime,Mercury Dime,D,0,1
1846,Quarter,Liberty Seated,,0,1
1964,Roosevelt Dime,Roosevelt Dime,,0,1
1921,Dollar,Peace Dollar,,0,2
2010,Dime,Roosevelt Dime,D,0,1
1903,Dime,Barber Series,O,0,1
2011,Penny,Lincoln Cent,S,0,1
1964,Kennedy Half Dollar,Unknown,D,0,1
2010,$1,Presidential Dollars,P,0,4
1945,Nickel,Jefferson Nickels,S,0,1
1988,Penny,Lincoln Cents,S,0,1
1902,25 Cents,Barber Quarters,,0,1
1922,Dollar,Peace Dollar,,0,2
2013,$1,Presidential Dollars,P,0,4
2024,Quarter,American Women Quarters Program,S,0,5
1940,Dime,Mercury Dime,,0,2
1923,Penny,Lincoln Wheat Cent Series,,0,2
1886,1 Dollar,Morgan Silver Dollars,S,0,1
2010,1 Dollar,Native American Dollar,P,0,1
1979,Dime,Roosevelt Dimes,,0,1
1887,Unknown,Unknown,,0,1
1931,Penny,Lincoln Wheat Cent,,0,1
1897,1 Dollar,Morgan Silver Dollars,,0,2
1982,Penny,Lincoln Cent,D,0,2
1971,Dollar,Eisenhower Dollar,S,0,4
1952,Half Dollar,Franklin Half Dollar,D,0,5
1949,Half Dollar,Franklin Half Dollar,D,0,1
1976,Penny,Lincoln Head Penny,,0,1
2018,Quarter,National Park Quarters,P,0,6
1937,Dime,Mercury Dime,D,0,1
1880,$5,Liberty Head Gold Half Eagle,,0,1
1951,Nickel,Jefferson Nickel,,0,1
1976,Dollar,Eisenhower Dollar,,0,2
1916,Penny,Lincoln Head Penny,S,0,1
1920,Half Dollar,Liberty Walking Half Dollar,D,0,1
2001,Dime,Roosevelt Dimes,S,0,2
1946,Penny,Lincoln Head Cent,D,0,1
1908,Dime,Barber Series,D,0,1
1880,1 Dollar,Morgan Silver Dollars,CC,0,2
2023,Dollar,American Eagle Silver Dollar,,0,1
1981,Penny,Lincoln Head Penny,S,0,1
1995,Penny,Lincoln Cent Series,S,0,1
1951,Dime,Roosevelt Dime,,0,1
1917,Penny,Lincoln Head Penny,,0,1
1941,Penny,Lincoln Cent,,0,2
1845,1/4 Dollar,Liberty Seated Silver Quarter,,0,1
1878,Quarter,Liberty Seated,CC,0,1
1818,Penny,Large Cent,,0,1
1926,$2.5,2.50 American Sesquicentennial Gold,,0,1
2014,Quarter,America the Beautiful Quarters,D,0,5
1855,Quarter,Liberty Seated,,0,1
1987,Quarter,Washington Silver Quarter,D,0,1
1858,Half Dollar,Liberty Seated,S,0,1
2009,Penny,Lincoln Cent,S,0,4
1905,Barber Silver Dimes,Barber Dimes,P,0,2
2009,Penny,Lincoln Cent,,0,1
1911,Dime,Barber Series,D,0,2
1909,1 cent,Lincoln Cent,,0,1
1922,Nickel,Buffalo Nickel,D,0,1
2018,Dime,Roosevelt Dimes,S,0,1
1883,1 Dollar,Morgan Silver Dollar,O,0,1
1942,Penny,Lincoln Cent,,0,2
1951,Dime,Roosevelt Dimes,,0,2
1881,Dime,Liberty Seated Dime,,0,1
1902,Nickel,Liberty Head Nickel,,0,2
1955,Penny,Lincoln Cent,S,0,2
1988,Dime,Roosevelt Dimes,D,0,1
1948,Half Dollar,Liberty Walking Half Dollar,D,0,1
1971,Quarter,Washington Quarter,,0,1
1930,Penny,Lincoln Cent Series,,0,1
1853,Quarter,Liberty Seated,,0,2
1873,Dime,Liberty Seated Silver Dime,,0,1
1838,Nickel,Stars No Drapery,,0,1
1921,Penny,Lincoln Head Penny,,0,3
1963,Nickel,Jefferson Nickel,,0,1
1982,Dime,Roosevelt Dimes,P,0,1
2023,Dollar,U.S. Innovation Dollar,D,0,1
1987,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
1837,Half Dime,Liberty Seated,,0,1
1950,Quarter,Washington Silver Quarter,D,0,1
1972,Dollar,Eisenhower Dollar,,0,2
1892,Dime,Barber,,0,1
1985,Penny,Lincoln Cent,D,0,1
1921,Penny,Lincoln Cent,,0,2
1828,Quarter,Capped Bust,,0,1
1946,Penny,Lincoln Cent,S,0,1
1932,Nickel,Buffalo Nickel,D,0,1
2000,1 Dollar,Sacagawea Dollar,S,0,1
1960,Cent,Lincoln Memorial Cent,,0,2
1905,25 Cents,Barber Silver Quarters,S,0,1
1949,Half Dollar,Franklin Half Dollar,,0,3
1874,Quarter,Liberty Seated,,0,2
1917,Penny,Lincoln Wheat Cent Series,,0,2
1938,Penny,Lincoln Cent,,0,1
2023,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
