type_id,category,denomination,year,series,need_obverse,need_reverse,doc_count,example_description,doc_ids
TYPE_140,Silver Certificate,,1935A,,YES,YES,5,1 silver certificate Hawaii (FR2300) (SC Block) PMG CU64 EPQ,087b9066-7de9-43ee-b106-d01a58314f20|7498dc89-e0cf-458f-a1ec-88a4a15fff55|8a6d31c3-865b-4455-b7d1-4319ea7d7254|b0138b17-311a-45cc-9a93-9206b401a49e|fbad48a0-786d-4586-a772-fe6a4fab0e39
TYPE_141,Silver Certificate,$1,1823,,YES,YES,1,$1 silver certificate large size Three consecutive Serial Numbers (FR237),7f6a8a62-63f0-4554-8e91-d94f242b5b2d
TYPE_142,Silver Certificate,$1,1891,,YES,YES,1,$1 Silver Certificate Large Size Martha Washington,bca4f87f-3bec-45b6-b03c-c0dcd3149366
TYPE_143,Silver Certificate,$1,1896,,YES,YES,3,$1 Silver Certificate large size Educational,3705fe86-132c-4542-a00c-0ebe2962fbe1|454d69cb-d53d-4630-87be-19f2be04fa80|9eadf37c-a7ae-4630-8723-6bc2ab77629e
TYPE_144,Silver Certificate,$1,1899,,YES,YES,2,$1 silver certificate large size eagle,87189b96-278e-43de-8a20-efe597886f50|bf62e319-76b2-4897-af3f-a375682145c4
TYPE_145,Silver Certificate,$1,1923,,YES,YES,9,$1 Silver Certificate large size 2 consecutive Serial #s (FR237) PCGS,076219f6-5198-4628-864d-dc17b932b719|0fa622a0-ba81-492d-bbcc-b070bc9ac79e|411ec589-ae64-49e9-98d7-516fff2e64a2|587ea6ab-87fe-443f-b219-f3bd8ef0f690|be0b5e30-8f6c-4b48-b30e-0f526a5c01af|ee958b47-da4f-46ef-aad9-280e44a23502|f0ab304f-4f6a-45b2-b7fe-37e2283fb22a|f35ef8cf-44bb-47ef-809d-48137dacde05|fc7982a2-327e-4879-8491-92c7833c5ea3
TYPE_146,Silver Certificate,$1,1928,,YES,YES,1,$1 Silver Certificate Funnyback,ec3916df-8c41-4f7f-9bb2-a0a4f19cb91a
TYPE_147,Silver Certificate,$1,1928$1,,YES,YES,1,$1 Silver Certificate Funnyback,3a267b43-b7f1-4f5e-a9b0-6845fb611870
TYPE_148,Silver Certificate,$1,1928A,,YES,YES,1,$1 Silver Certificate Funnyback,1d0a722d-b9b0-4f5a-8a13-7ba145bdac01
TYPE_149,Silver Certificate,$1,1928B,,YES,YES,2,$1 Silver Certificate Funnyback,3905a42b-53b9-4d07-8299-27a4f9d3e62b|d64b6f7d-e05f-4a7d-9e55-f1b3571777ed
TYPE_150,Silver Certificate,$1,1928D,,YES,YES,1,$1 Silver Certificate Funnyback,38dbe211-2888-425d-aedb-c62756996087
TYPE_151,Silver Certificate,$1,1934,,YES,YES,1,$1 silver certificatee funnyback,fc9c1d56-eaf1-4fd1-a92d-8acd5a0bd539
TYPE_152,Silver Certificate,$1,1935,,YES,YES,1,$1 silver certificate,d540ffb6-aef7-456c-a30b-1075e715a4ab
TYPE_153,Silver Certificate,$1,1935 C,,YES,YES,1,$1 Silver Certificate,57ac3665-0dc3-4bc2-9984-56b14541d9c9
TYPE_154,Silver Certificate,$1,1935A,,YES,YES,5,$1 Silver Certificate,724ddaf4-b9ab-4d48-ba20-5ed6908778ef|a8a00966-e593-40b0-8856-4044a6609e56|d3d8b11d-d555-4d88-a292-5fa27b206fb4|d5cbb68d-a4e4-4f43-917b-0a5876899048|f76f719d-40ac-45db-91de-edc255716be0
TYPE_155,Silver Certificate,$1,1935A-R,,YES,YES,1,$1 Silver Certificate,52a3f15d-84ac-42cf-8393-c51f9bf7277f
TYPE_156,Silver Certificate,$1,1935B,,YES,YES,1,$1 Silver Certificate,94ea8b99-f9c1-43f4-b1cf-2a9083cec95e
TYPE_157,Silver Certificate,$1,1935D,,YES,YES,2,$1 silver certificate wide design,cb6b1aeb-16aa-4ff9-b39f-a3a97633bd43|d4965885-02ee-4b7e-8348-e5eb3b25fac2
TYPE_158,Silver Certificate,$1,1935E,,YES,YES,2,$1 silver certificate,01598715-3532-45d1-8636-d08d4e04ab35|0b7d4e18-8663-46e2-a15c-9fdbbbecfce6
TYPE_159,Silver Certificate,$1,1935F,,YES,YES,1,$1 silver certificate,2a21b798-9aaa-4802-a1bf-789dbd959b71
TYPE_160,Silver Certificate,$1,1935G,,YES,YES,2,$1 silver certificate,0f688f7c-0256-41dd-a343-25dceffcc454|dfb2d06a-7254-404f-9b3a-cb6d93b998d4
TYPE_161,Silver Certificate,$1,1935H,,YES,YES,2,$1 Silver Certificate Star Note,463e04af-d451-4206-84a1-8041a347d174|c75463e5-ac86-438c-b717-02e4a7cad963
TYPE_162,Silver Certificate,$1,1957,,YES,YES,3,$1 silver cert star note,417a6cce-7799-48a1-8538-966248dbf53c|bda5379d-d182-463d-b46f-945b9f97087f|be4dc957-dae7-491d-8279-d5013bd0a2ad
TYPE_163,Silver Certificate,$1,1957A,,YES,YES,3,$1 Silver Certificate,a410eb60-daf4-4f6f-826b-25943ac6a4e4|a66cf39b-a92b-4c9e-8228-5804bd2f1e83|bf4391dc-95a6-47de-b5aa-76a752ad0316
TYPE_164,Silver Certificate,$1,1957B,,YES,YES,2,$1 silver certificate,b427cec9-2631-4ba6-b994-5cce57a67fd1|de791f2c-48f3-48ed-af8c-8842140080b1
TYPE_165,Silver Certificate,$10,1934,,YES,YES,5,$10 Silver Certificate,196efc9f-8f8f-43c4-8c01-5275f7e46756|29b89ec5-170a-4a04-b038-03b555639b2d|3bcee5ba-02a3-4636-98c0-483765d25b48|7bf39641-6a05-4ab3-b713-6d23bf5e3bb1|997f2950-8bda-4d90-a8ec-06b33a37e063
TYPE_166,Silver Certificate,$10,1934A,,YES,YES,2,$10 Silver Certificate - No Yellow Seal,02f1f861-2578-42c9-bddf-afb58d9570c8|8fe20fb4-3ae9-45c1-9a44-c2d18c4156bb
TYPE_167,Silver Certificate,$10,1934B,,YES,YES,1,$10 Silver Certificate,3c649910-6e54-4d7b-9e71-b2919979a92d
TYPE_168,Silver Certificate,$10,1934C,,YES,YES,1,$10 Silver Certificate,714ac8a9-a2f5-4504-b67f-15f480e2815b
TYPE_169,Silver Certificate,$10,1934D,,YES,YES,1,$10 Silver Certificate,c0f6ca0c-b618-4703-96f2-45735307b2d9
TYPE_170,Silver Certificate,$10,1953,,YES,YES,1,$10 silver certificate Star note,90dc83e8-3467-43bf-86b3-695b2192a197
TYPE_171,Silver Certificate,$2,1896,,YES,YES,1,$2 Silver Certificate Largensize Educational,42ee64e9-7340-4c66-854f-b727c3579570
TYPE_172,Silver Certificate,$2,1899,,YES,YES,4,$2 Silver Certificate Large Size,0a256c7c-a7ea-4e02-9adb-67d10f09ceb0|8686be42-0159-48d8-a923-e341cfc7f342|c7bb2f5b-3afb-483d-b5d9-a12b8f31ceb2|c7fe1c85-7ab5-465e-a957-b6b8b807e4ce
TYPE_173,Silver Certificate,$5,1899,,YES,YES,2,$5 Silver Certificate Indian Large size,b65865b8-2295-4f23-9c4b-47a30d7bbc22|e201deae-06b0-46a5-9206-bf024f2dd25a
TYPE_174,Silver Certificate,$5,1934,,YES,YES,1,$5 Silver Certificate,ab9458d8-6487-4970-a8ce-38646717444a
TYPE_175,Silver Certificate,$5,1934A,,YES,YES,2,$5 Silver Certificate,65819e0b-14ce-4941-aaeb-726ab07aaea8|f637e7d8-ef8b-4acf-87cc-26ecaed3b456
TYPE_176,Silver Certificate,$5,1934B,,YES,YES,1,$5 Silver Certificate,8d727753-884c-4a40-af67-e33df1c4fbab
TYPE_177,Silver Certificate,$5,1934C,,YES,YES,1,$5 Silver Certificate,9e7414d5-6ba0-4a67-b153-97d8f1d0d311
TYPE_178,Silver Certificate,$5,1934D,,YES,YES,1,$5 Silver Certificate,da327acc-9708-4332-98c1-0fb0d82b9379
TYPE_179,Silver Certificate,$5,1953,,YES,YES,1,$5 Silver Certificate,eeece5b0-292f-4371-a169-65d58683d83b
TYPE_180,Silver Certificate,$5,1953A,,YES,YES,1,$5 silver certificate,b5694584-c8d3-48ed-bfe9-832846358029
TYPE_181,Silver Certificate,$5,1953B,,YES,YES,1,$5 Silver Certificate,99d9085e-2896-427e-950a-f9e94b2e2939
TYPE_182,Treasury Note,,1891,,YES,YES,1,$! Treasury Note Large size,d042604e-65e9-4bc6-bddf-67b13aeb8c49
TYPE_183,Treasury Note,$1,1891,,YES,YES,1,$1 Treasury Note Large size,8c02cf6c-7cd7-423f-99e6-bc934e8bf4de
TYPE_184,Unknown,,,,YES,YES,1,"W-CT- 250 CT Nank of NewEngland Uncut sheet 1,1,2,5 USO 20",92fe14e6-968e-456c-a80e-b8c40d5b2325
TYPE_185,Unknown,,1776,,YES,YES,1,2 Continental Currency,51617d29-1663-49cb-ac07-d37d01fc8dab
TYPE_186,Unknown,,1850's,,YES,YES,1,#3 West River Bank Vermont Note Jamaica,bf35ce79-068d-4d96-8b49-70efed55acdc
TYPE_187,Unknown,,1850-60's,,YES,YES,1,7 note set West Riverbank Jamaica VT,f4aa820a-2f49-484e-987b-98fbc2a83188
TYPE_188,Unknown,,1864,,YES,YES,1,50 Conferate Note,bb777fe7-7a21-49dd-aea3-77cbf34ef035
TYPE_189,Unknown,,1886,,YES,YES,1,ilver Certificate Large Size,396a98c6-24d0-4208-b348-c13498690c49
TYPE_190,Unknown,,1963,,YES,YES,1,#2 Leal Tender Star Note,d9d96ac1-417b-4088-96ea-7aa1f39aea10
TYPE_191,Unknown,$1,1830's,,NO,YES,1,$1 Bamk of Windsor Vermont PMG,c0f11f40-29a8-4503-908a-5ba0d269e2c0
TYPE_192,Unknown,$1,1850's-1860's,,YES,YES,1,"The West River Bank Jamaica Vermont Uncut sheet of 4 ($1, $2, $3, & $5)",8dd18743-92d4-4843-a98a-9c4b0b5e4281
TYPE_193,Unknown,$1,1860,,YES,YES,1,$1 Bank of America State of Rhode Island W_RI-820-001-00108,ae619cb4-d90b-4bbd-9e63-56d90f24e5d7
TYPE_194,Unknown,$1,1899,,YES,YES,3,$1 Silver Cerificate Large Size Eagle,5aa08b79-11af-4fda-b36f-3d3add60886d|6253c998-455f-4f21-9d5e-b9a852edd01f|673c2847-1ed3-4406-b29e-a8637fd7512a
TYPE_195,Unknown,$1,1899-1918,,YES,YES,1,$1 large size note starter set,12df0fc6-5194-4c7b-8b62-4bea1efb25c4
TYPE_196,Unknown,$1,1923,,YES,YES,1,$1 Silver Cerificate Large Size,d7833c80-d073-4949-94bc-c4d535d86107
TYPE_197,Unknown,$1,1963A,,YES,YES,2,$1Federal Reserve Note,6a1c2e6d-08b4-4782-9862-f12a2f6110ab|b448cf38-44d7-4541-a32b-ac378c67c185
TYPE_198,Unknown,$1,1969A,,YES,YES,1,$1Federal Reserve Note,5db38a87-41d9-45fb-a5c8-c5b8c0436672
TYPE_199,Unknown,$1,1969B,,YES,YES,4,$1Federal Reserve Note,73ea66b9-1630-4572-bbce-5242c0c86389|cb217e2d-811f-48ca-87be-559b82694809|f4189966-2354-4e73-9d3c-f67cd095b365|ffb71e8c-3646-4d9e-b468-2d01b8d929d1
TYPE_200,Unknown,$1,1969D,,YES,YES,1,$1 Ferderal Reserve Note,a8433dfe-cdef-4e97-ac88-97a27e592676
TYPE_201,Unknown,$1,1988A,,YES,YES,1,$1Federal Reserve Note,425e75fa-21a2-413f-aa8b-e0ac6e7b4c09
TYPE_202,Unknown,$1,1993,,YES,YES,1,$1Federal Reserve Note,59f0965f-0126-463f-a86b-ad5b847fbd8f
TYPE_203,Unknown,$1,1999,,YES,YES,2,$1 Ferderal Reserve Star Note,14e86a13-2b34-431c-83ec-f67d97e47ef9|eb22cb95-582b-4a94-b78e-6d81ae7cb4a8
TYPE_204,Unknown,$1,19th Century,,YES,YES,1,"Union County Bank of Plainfield NJ (2) $1, $2, $3 uncut sgeet of 4",5d4f37e3-026b-4af1-8c0d-e841fd64c08b
TYPE_205,Unknown,$1,19th century,,YES,YES,1,State Bank of New Brunswick $1 Uncut sheet of 4,72b536b4-f6da-4ce5-bb67-d83ab14d0578
TYPE_206,Unknown,$1,2003A,,YES,YES,2,$1Federal Reserve Star Note,0d686842-1033-4755-a635-c0317f2c1e0d|b79e9dcb-5626-44ce-a69d-0474e02faea1
TYPE_207,Unknown,$10,1800's,,YES,YES,1,$10 canal Bank New Orleans Note with Bank,848ec127-f51c-4870-b438-5e468bf5168f
TYPE_208,Unknown,$10,1850's-1860's,,NO,YES,1,$10 Falls Village Iton Bank (CT120G14C) PMG EDQ63,8a457305-0b05-4766-be46-f8aa48e8cc41
TYPE_209,Unknown,$10,1865,,YES,YES,1,$10 State of Georgia Note From Milledgeville,b0efe82b-310a-4286-b5ef-73084dd0bcbf
TYPE_210,Unknown,$1000,,,NO,YES,1,$1000 3rd Bank of the United States PMG New York Tear Repair Previously Mounted,0f2da1a0-1152-45bc-9eba-cae06f0f4a88
TYPE_211,Unknown,$2,1861,,YES,YES,1,$2 New Orleans Jackson and Great Northern RR Co W-LA 380-002-G050,0e9eeec8-dfc5-418c-afc3-597898ff7652
TYPE_212,Unknown,$20,1864,,YES,YES,1,$20 Confedwrate Note,3b8f8399-1d73-42f7-882e-d540b977ac0f
TYPE_213,Unknown,$40,1778,,YES,YES,1,$40 continental currency,2ba8c63d-566a-424f-8616-15af3dc51390
TYPE_214,Unknown,$5,1847-1850's,,YES,YES,1,$5 Falls Village Connecticut Iron Bank (CT120G8),1bff68c9-9147-4254-84e1-7e2dd743a18a
TYPE_215,Unknown,$5,1850's-1860's,,YES,YES,1,$5 Falls Village Connecticut Iton Bank (CT120G10C),64182a73-681a-4d78-ab37-1af82e70e44b
TYPE_216,Unknown,$5,1850's-1960's,,YES,YES,1,"$5, $10, and $20  Farmer's Bank of Kentucky three note set",39e15347-e2eb-4af6-a621-fa3650e9dbe4
TYPE_217,Unknown,$5,1880,,NO,YES,1,$5 Legal TenderNote large size PMG,0449a33d-a22e-4018-8a79-5ad1b8a7e128
TYPE_218,Unknown,$5,"1880""s",,YES,YES,1,$5 State of Louisiana Single Bond with red serial number,6d74462d-36de-45fb-bb15-cfac379602ec
TYPE_219,Unknown,$5,1914,,YES,YES,1,$5 Federal Rserve Note,a4619e29-fd5c-4e2e-812b-b26d57288f21
TYPE_220,Unknown,$5,1928B,,YES,YES,1,$5 egal Tender Note,21131bc4-b62d-4243-8fdb-e3155aeefbb7
TYPE_221,Unknown,$5,1953B,,YES,YES,1,$5Legal Tender Note,793b8f3e-115e-4f9b-a70f-7c0a311c2e2e
TYPE_222,Unknown,$5,1953C,,YES,YES,1,$5Legal Tender Note,dfea2ebd-8b66-43c8-a21a-02cc02b6aa64
TYPE_223,Unknown,$500,,,NO,YES,1,$500 3rd Bank of the United States Philadelphia PA Haxby 3 PCGS,df2e6ec8-ca64-4930-afaa-76c7a55e38a4
TYPE_224,Unknown,5,1862-1869,,YES,YES,1,5c Gractional currency,727a1c07-4b0f-46c0-81e7-9123bf8a44ff
